CD_Name	NCBI_Name	Name
CD10	MME	Mme
CD100	SEMA4D	Sema4d
CD101	IGSF2	Igsf2
CD102	ICAM2	Icam2
CD103	ITGAE	Itgae
CD104	ITGB4	Itgb4
CD105	ENG	Eng
CD106	VCAM1	Vcam1
CD107a	LAMP1	Lamp1
CD107b	LAMP2	Lamp2
CD108	SEMA7A	Sema7a
CD109	CD109	Cd109
CD110	MPL	Mpl
CD111	PVRL1	Pvrl1
CD112	PVRL2	Pvrl2
CD113	PVRL3	Pvrl3
CD114	CSF3R	Csf3r
CD115	CSF1R	Csf1r
CD116	CSF2RA	Csf2ra
CD117	KIT	Kit
CD118	LIFR	Lifr
CD119	IFNGR1	Ifngr1
CD11a	ITGAL	Itgal
CD11b	ITGAM	Itgam
CD11c	ITGAX	Itgax
CD11d	ITGAD	Itgad
CD120a	TNFRSF1A	Tnfrsf1a
CD120b	TNFRSF1B	Tnfrsf1b
CD121a	IL1R1	Il1r1
CD121b	IL1R2	Il1r2
CD122	IL2RB	Il2rb
CD123	IL3RA	Il3ra
CD124	IL4R	Il4r
CD125	IL5RA	Il5ra
CD126	IL6R	Il6r
CD127	IL7R	Il7r
CD128a	see	See
CD128b	see	See
CD129	IL9R	Il9r
CD13	ANPEP	Anpep
CD130	IL6ST	Il6st
CD131	CSF2RB	Csf2rb
CD132	IL2RG	Il2rg
CD133	PROM1	Prom1
CD134	TNFRSF4	Tnfrsf4
CD135	FLT3	Flt3
CD136	MST1R	Mst1r
CD137	TNFRSF9	Tnfrsf9
CD138	SDC1	Sdc1
CD139	CD139	Cd139
CD14	CD14	Cd14
CD140a	PDGFRA	Pdgfra
CD140b	PDGFRB	Pdgfrb
CD141	THBD	Thbd
CD142	F3	F3
CD143	ACE	Ace
CD144	CDH5	Cdh5
CD146	MCAM	Mcam
CD147	BSG	Bsg
CD148	PTPRJ	Ptprj
CD149	see	See
CD15	FUT4	Fut4
CD150	SLAMF1	Slamf1
CD151	CD151	Cd151
CD152	CTLA4	Ctla4
CD153	TNFSF8	Tnfsf8
CD154	CD40LG	Cd40lg
CD155	PVR	Pvr
CD156a	ADAM8	Adam8
CD156b	ADAM17	Adam17
CD156C	ADAM10	Adam10
CD157	BST1	Bst1
CD158A	KIR2DL1	Kir2dl1
CD158B1	KIR2DL2	Kir2dl2
CD158B2	KIR2DL3	Kir2dl3
CD158C	KIR3DP1	Kir3dp1
CD158D	KIR2DL4	Kir2dl4
CD158E1	KIR3DL1	Kir3dl1
CD158E2	KIR3DS1	Kir3ds1
CD158F	KIR2DL5	Kir2dl5
CD158G	KIR2DS5	Kir2ds5
CD158H	KIR2DS1	Kir2ds1
CD158I	KIR2DS4	Kir2ds4
CD158J	KIR2DS2	Kir2ds2
CD158K	KIR3DL2	Kir3dl2
CD159a	KLRC1	Klrc1
CD159c	KLRC2	Klrc2
CD160	CD160	Cd160
CD161	KLRB1	Klrb1
CD162	SELPLG	Selplg
CD163	CD163	Cd163
CD164	CD164	Cd164
CD165	CD165	Cd165
CD166	ALCAM	Alcam
CD167a	DDR1	Ddr1
CD167b	DDR2	Ddr2
CD168	HMMR	Hmmr
CD169	SN	Sn
CD16a	FCGR3A	Fcgr3a
CD16b	FCGR3B	Fcgr3b
CD17	carbohydrate	Carbohydrate
CD170	SIGLEC5	Siglec5
CD171	L1CAM	L1cam
CD172a	PTPNS1	Ptpns1
CD172b	SIRPB1	Sirpb1
CD172g	SIRPB2	Sirpb2
CD173	carbohydrate	Carbohydrate
CD174	FUT3	Fut3
CD175	carbohydrate	Carbohydrate
CD175s	carbohydrate	Carbohydrate
CD176	carbohydrate	Carbohydrate
CD177	CD177	Cd177
CD178	FASLG	Faslg
CD179a	VPREB1	Vpreb1
CD179b	IGLL1	Igll1
CD18	ITGB2	Itgb2
CD180	CD180	Cd180
CD181	IL8RA	Il8ra
CD182	IL8RB	Il8rb
CD183	CXCR3	Cxcr3
CD184	CXCR4	Cxcr4
CD185	BLR1	Blr1
CD186	CXCR6	Cxcr6
CD187	CD	Cd
CD188	CD	Cd
CD189	CD	Cd
CD19	CD19	Cd19
CD190	CD	Cd
CD191	CCR1	Ccr1
CD192	CCR2	Ccr2
CD193	CCR3	Ccr3
CD194	CCR4	Ccr4
CD195	CCR5	Ccr5
CD196	CCR6	Ccr6
CD197	CCR7	Ccr7
CD1a	CD1A	Cd1a
CD1b	CD1B	Cd1b
CD1c	CD1C	Cd1c
CD1d	CD1D	Cd1d
CD1e	CD1E	Cd1e
CD2	CD2	Cd2
CD20	MS4A1	Ms4a1
CD200	CD200	Cd200
CD201	PROCR	Procr
CD202b	TEK	Tek
CD203c	ENPP3	Enpp3
CD204	MSR1	Msr1
CD205	LY75	Ly75
