name	ensp	Cytoplasm	Golgi apparatus	Plasma membrane	Lysosome	Endosome	Nucleus	Cytoskeleton	Mitochondrion
ARF5	ENSP00000000233	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
M6PR	ENSP00000000412	5.0	0.0	4.0	5.0	5.0	0.0	0.0	0.0
ESRRA	ENSP00000000442	0.0	0.0	0.0	0.0	0.0	5.0	4.0	0.0
FKBP4	ENSP00000001008	4.0	0.0	0.0	0.0	0.0	5.0	3.0	5.0
CYP26B1	ENSP00000001146	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C2orf56	ENSP00000002125	5.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
FUCA2	ENSP00000002165	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
HS3ST1	ENSP00000002596	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
SEMA3F	ENSP00000002829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CFTR	ENSP00000003084	5.0	0.0	5.0	0.0	5.0	0.0	0.0	0.0
CYP51A1	ENSP00000003100	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
USP28	ENSP00000003302	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
C1orf201	ENSP00000003583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM176A	ENSP00000004103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCL18	ENSP00000004921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HSPB6	ENSP00000004982	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
ZNF195	ENSP00000005082	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
PDK4	ENSP00000005178	5.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
CCL26	ENSP00000005180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
USH1C	ENSP00000005226	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0
RALA	ENSP00000005257	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
BAIAP2L1	ENSP00000005260	5.0	0.0	4.0	0.0	0.0	4.0	5.0	0.0
SYNRG	ENSP00000005279	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
CACNG3	ENSP00000005284	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
TMEM132A	ENSP00000005286	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
DVL2	ENSP00000005340	3.0	0.0	5.0	0.0	0.0	4.0	0.0	0.0
IFRD1	ENSP00000005558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SKAP2	ENSP00000005587	5.0	0.0	5.0	0.0	0.0	4.0	0.0	0.0
KIAA0100	ENSP00000005905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRSS21	ENSP00000005995	4.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
HOXA11	ENSP00000006015	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0
CX3CL1	ENSP00000006053	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
COPZ2	ENSP00000006101	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
TRAPPC6A	ENSP00000006275	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
SPATA20	ENSP00000006658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CEACAM7	ENSP00000006724	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
RHBDD2	ENSP00000006777	4.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0
OSBPL7	ENSP00000007414	4.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
NDUFAB1	ENSP00000007516	4.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
