name	ensg
IL32	ENSG00000008517
OSM	ENSG00000099985
IL26	ENSG00000111536
IL23A	ENSG00000110944
IL2	ENSG00000109471
EBI3	ENSG00000105246
IL4	ENSG00000113520
IL5	ENSG00000113525
LIF	ENSG00000128342
IL12B	ENSG00000113302
IL17C	ENSG00000124391
IL11	ENSG00000095752
IL36A	ENSG00000136694
IL21	ENSG00000138684
IL36B	ENSG00000136696
IL6	ENSG00000136244
IL18BP	ENSG00000137496
IL1B	ENSG00000125538
IL7	ENSG00000104432
IL37	ENSG00000125571
IL1A	ENSG00000115008
IL17B	ENSG00000127743
IL3	ENSG00000164399
IL17D	ENSG00000172458
IL12A	ENSG00000168811
IL19	ENSG00000142224
CTF1	ENSG00000150281
IL18	ENSG00000150782
IL34	ENSG00000157368
IL15	ENSG00000164136
CLCF1	ENSG00000175505
IL9	ENSG00000145839
IL24	ENSG00000162892
LEP	ENSG00000174697
IL16	ENSG00000172349
IL13	ENSG00000169194
IL22	ENSG00000127318
IL17F	ENSG00000112116
IL1F10	ENSG00000136697
IL25	ENSG00000166090
IL17A	ENSG00000112115
IL27	ENSG00000197272
CNTF	ENSG00000242689
IL10	ENSG00000136634
IL20	ENSG00000162891
IL31	ENSG00000204671
IL33	ENSG00000137033
ZFP91-CNTF	ENSG00000255073
IFNG	ENSG00000111537
IFNK	ENSG00000147896
IFNE	ENSG00000184995
EDN3	ENSG00000124205
EDN2	ENSG00000127129
EDN1	ENSG00000078401
BMP15	ENSG00000130385
BMP4	ENSG00000125378
BMP10	ENSG00000163217
BMP1	ENSG00000168487
BMP3	ENSG00000152785
BMP6	ENSG00000153162
BMP8A	ENSG00000183682
BMP2K	ENSG00000138756
BMP8B	ENSG00000116985
BMP5	ENSG00000112175
BMP2	ENSG00000125845
BMP7	ENSG00000101144
HBEGF	ENSG00000113070
EREG	ENSG00000124882
EGF	ENSG00000138798
NRG2	ENSG00000158458
TDGF1	ENSG00000241186
NRG1	ENSG00000157168
EPGN	ENSG00000182585
NRG3	ENSG00000185737
NRG4	ENSG00000169752
AREG	ENSG00000109321
BTC	ENSG00000174808
CCL26	ENSG00000006606
CX3CL1	ENSG00000006210
CCL24	ENSG00000106178
CCL2	ENSG00000108691
CXCL6	ENSG00000124875
CCL1	ENSG00000108702
CCL17	ENSG00000102970
CCL13	ENSG00000181374
CCL22	ENSG00000102962
CCL25	ENSG00000131142
CCL21	ENSG00000137077
CXCL9	ENSG00000138755
CCL27	ENSG00000213927
CXCL5	ENSG00000163735
CXCL2	ENSG00000081041
PF4	ENSG00000163737
CCL11	ENSG00000172156
CXCL16	ENSG00000161921
CXCL11	ENSG00000169248
CCL19	ENSG00000172724
CXCL3	ENSG00000163734
CXCL8	ENSG00000169429
CXCL13	ENSG00000156234
CXCL10	ENSG00000169245
CXCL17	ENSG00000189377
CXCL14	ENSG00000145824
CXCL12	ENSG00000107562
CCL20	ENSG00000115009
CCL28	ENSG00000151882
XCL1	ENSG00000143184
XCL2	ENSG00000143185
CCL7	ENSG00000108688
CCL8	ENSG00000108700
CXCL1	ENSG00000163739
CCL16	ENSG00000275152
CCL5	ENSG00000271503
CCL15-CCL14	ENSG00000275688
CCL4	ENSG00000275302
CCL18	ENSG00000275385
CCL3	ENSG00000277632
CCL15	ENSG00000275718
CCL14	ENSG00000276409
CCL23	ENSG00000274736
CMTM6	ENSG00000091317
CMTM2	ENSG00000140932
CMTM8	ENSG00000170293
CMTM5	ENSG00000166091
CMTM1	ENSG00000089505
CMTM4	ENSG00000183723
CMTM7	ENSG00000153551
CMTM3	ENSG00000140931
CKLF-CMTM1	ENSG00000254788
CLTA	ENSG00000122705
CLTB	ENSG00000175416
FASLG	ENSG00000117560
LTA	ENSG00000226979
LTB	ENSG00000227507
TNF	ENSG00000232810
TGFB1	ENSG00000105329
TGFB3	ENSG00000119699
NRTN	ENSG00000171119
NODAL	ENSG00000156574
LEFTY1	ENSG00000243709
TGFA	ENSG00000163235
GDNF	ENSG00000168621
LEFTY2	ENSG00000143768
TGFB2	ENSG00000092969
FGF4	ENSG00000075388
FGF20	ENSG00000078579
FGF22	ENSG00000070388
FGF6	ENSG00000111241
FGF21	ENSG00000105550
FGF23	ENSG00000118972
FGF10	ENSG00000070193
FGF2	ENSG00000138685
FGF11	ENSG00000161958
FGF18	ENSG00000156427
FGF7	ENSG00000140285
FGF19	ENSG00000162344
FGF13	ENSG00000129682
FGF5	ENSG00000138675
FGF1	ENSG00000113578
FGF8	ENSG00000107831
FGF3	ENSG00000186895
FGF17	ENSG00000158815
FGF9	ENSG00000102678
FGF14	ENSG00000102466
FGF12	ENSG00000114279
FGF16	ENSG00000196468
PGF	ENSG00000119630
PDGFC	ENSG00000145431
PDGFD	ENSG00000170962
PDGFB	ENSG00000100311
PDGFA	ENSG00000197461
VEGFA	ENSG00000112715
VEGFD	ENSG00000165197
VEGFB	ENSG00000173511
VEGFC	ENSG00000150630
GDF1	ENSG00000130283
GDF15	ENSG00000130513
MSTN	ENSG00000138379
GDF11	ENSG00000135414
GDF9	ENSG00000164404
GDF6	ENSG00000156466
GDF7	ENSG00000143869
GDF3	ENSG00000184344
GDF5	ENSG00000125965
GDF10	ENSG00000266524
GDF2	ENSG00000263761
WNT3	ENSG00000108379
WNT16	ENSG00000002745
WNT6	ENSG00000115596
WNT10A	ENSG00000135925
WNT2B	ENSG00000134245
WNT2	ENSG00000105989
WNT5A	ENSG00000114251
WNT7A	ENSG00000154764
WNT10B	ENSG00000169884
WNT1	ENSG00000125084
WNT9A	ENSG00000143816
WNT4	ENSG00000162552
WNT3A	ENSG00000154342
WNT9B	ENSG00000158955
WNT5B	ENSG00000111186
WNT11	ENSG00000085741
WNT7B	ENSG00000188064
WNT8B	ENSG00000075290
WNT8A	ENSG00000061492
IGF1	ENSG00000017427
INS-IGF2	ENSG00000129965
IGF2	ENSG00000167244
IGF2	ENSG00000284779
CSF3	ENSG00000108342
CSF2	ENSG00000164400
ACSF2	ENSG00000167107
ACSF3	ENSG00000176715
CSF1	ENSG00000184371
GMFG	ENSG00000130755
GMFB	ENSG00000197045
NGF	ENSG00000134259
INHBA	ENSG00000122641
INHA	ENSG00000123999
INHBE	ENSG00000139269
INHBC	ENSG00000175189
INHBB	ENSG00000163083
GREM2	ENSG00000180875
NDP	ENSG00000124479
CER1	ENSG00000147869
GREM1	ENSG00000166923
WISP2	ENSG00000064205
WISP1	ENSG00000104415
WISP3	ENSG00000112761
NOV	ENSG00000136999
SELENOV	ENSG00000186838
CTGF	ENSG00000118523
NOG	ENSG00000183691
