ensg	enst	name
ENSMUSG00000035352		Ccl12
ENSMUSG00000035385		Ccl2
ENSMUSG00000020676		Ccl11
ENSMUSG00000000982		Ccl3
ENSMUSG00000009185		Ccl8
ENSMUSG00000004814		Ccl24
ENSMUSG00000018930		Ccl4
ENSMUSG00000018920		Cxcl16
ENSMUSG00000020702		Ccl1
ENSMUSG00000035373		Ccl7
ENSMUSG00000019122		Ccl9
ENSMUSG00000018927		Ccl6
ENSMUSG00000026166		Ccl20
ENSMUSG00000023235		Ccl25
ENSMUSG00000021508		Cxcl14
ENSMUSG00000023078		Cxcl13
ENSMUSG00000026573		Xcl1
ENSMUSG00000031778		Cx3cl1
ENSMUSG00000029371		Cxcl5
ENSMUSG00000029380		Cxcl1
ENSMUSG00000029379		Cxcl3
ENSMUSG00000034855		Cxcl10
ENSMUSG00000035042		Ccl5
ENSMUSG00000029373		Pf4
ENSMUSG00000031780		Ccl17
ENSMUSG00000029375		Cxcl15
ENSMUSG00000031779		Ccl22
ENSMUSG00000058427		Cxcl2
ENSMUSG00000060188		Cxcl17
ENSMUSG00000094686		Ccl21a
ENSMUSG00000073888		Ccl27a
ENSMUSG00000070464		Ccl26
ENSMUSG00000061353		Cxcl12
ENSMUSG00000074715		Ccl28
ENSMUSG00000071005		Ccl19
ENSMUSG00000029417		Cxcl9
ENSMUSG00000095675		Ccl21b
ENSMUSG00000096826		Ccl27b
