ensg	enst	name
ENSMUSG00000000183		Fgf6
ENSMUSG00000000182		Fgf23
ENSMUSG00000020327		Fgf22
ENSMUSG00000042826		Fgf11
ENSMUSG00000057967		Fgf18
ENSMUSG00000025551		Fgf14
ENSMUSG00000025219		Fgf8
ENSMUSG00000022101		Fgf17
ENSMUSG00000021974		Fgf9
ENSMUSG00000021732		Fgf10
ENSMUSG00000036585		Fgf1
ENSMUSG00000029337		Fgf5
ENSMUSG00000030827		Fgf21
ENSMUSG00000031073		Fgf15
ENSMUSG00000031137		Fgf13
ENSMUSG00000037225		Fgf2
ENSMUSG00000031230		Fgf16
ENSMUSG00000031603		Fgf20
ENSMUSG00000050917		Fgf4
ENSMUSG00000027208		Fgf7
ENSMUSG00000022523		Fgf12
ENSMUSG00000031074		Fgf3
