ensg	enst	name
ENSMUSG00000042993		Ifnk
ENSMUSG00000055170		Ifng
ENSMUSG00000048806		Ifnb1
ENSMUSG00000045364		Ifne
ENSMUSG00000100079		Ifnab
ENSMUSG00000095498		Ifna1
ENSMUSG00000060747		Ifnl3
ENSMUSG00000070904		Ifna4
ENSMUSG00000059128		Ifnl2
ENSMUSG00000096854		Ifnz
ENSMUSG00000096682		Ifna5
ENSMUSG00000078354		Ifna2
ENSMUSG00000073811		Ifna12
ENSMUSG00000078355		Ifna16
ENSMUSG00000095896		Ifna14
ENSMUSG00000100713		Ifna7
ENSMUSG00000096011		Ifna15
ENSMUSG00000095270		Ifna9
ENSMUSG00000063376		Ifna13
ENSMUSG00000101252		Ifna6
ENSMUSG00000100549		Ifna11
