ensg	enst	name
ENSMUSG00000000869		Il4
ENSMUSG00000001741		Il16
ENSMUSG00000003206		Ebi3
ENSMUSG00000016524		Il19
ENSMUSG00000020383		Il13
ENSMUSG00000018914		Il3
ENSMUSG00000016529		Il10
ENSMUSG00000025746		Il6
ENSMUSG00000024578		Il17b
ENSMUSG00000024810		Il33
ENSMUSG00000026416		Il20
ENSMUSG00000025383		Il23a
ENSMUSG00000021538		Il9
ENSMUSG00000025929		Il17a
ENSMUSG00000026984		Il1f6
ENSMUSG00000027776		Il12a
ENSMUSG00000041872		Il17f
ENSMUSG00000029372		Ppbp
ENSMUSG00000027720		Il2
ENSMUSG00000027399		Il1a
ENSMUSG00000034394		Lif
ENSMUSG00000026985		Il1f8
ENSMUSG00000031712		Il15
ENSMUSG00000029437		Il31
ENSMUSG00000027718		Il21
ENSMUSG00000026983		Il1f5
ENSMUSG00000027398		Il1b
ENSMUSG00000040770		Il25
ENSMUSG00000040663		Clcf1
ENSMUSG00000039217		Il18
ENSMUSG00000036117		Il5
ENSMUSG00000044103		Il1f9
ENSMUSG00000046108		Il17c
ENSMUSG00000059201		Lep
ENSMUSG00000042340		Ctf1
ENSMUSG00000044701		Il27
ENSMUSG00000046845		Il1f10
ENSMUSG00000058755		Osm
ENSMUSG00000074695		Il22
ENSMUSG00000004371		Il11
ENSMUSG00000050222		Il17d
ENSMUSG00000031750		Il34
ENSMUSG00000060034		Ctf2
ENSMUSG00000004296		Il12b
ENSMUSG00000079415		Cntf
ENSMUSG00000026420		Il24
ENSMUSG00000090461		Iltifb
ENSMUSG00000040329		Il7
