ensg	enst	name
ENSMUSG00000000125		Wnt3
ENSMUSG00000000126		Wnt9a
ENSMUSG00000026167		Wnt10a
ENSMUSG00000033227		Wnt6
ENSMUSG00000009900		Wnt3a
ENSMUSG00000018486		Wnt9b
ENSMUSG00000010797		Wnt2
ENSMUSG00000012282		Wnt8a
ENSMUSG00000022997		Wnt1
ENSMUSG00000022996		Wnt10b
ENSMUSG00000022382		Wnt7b
ENSMUSG00000036961		Wnt8b
ENSMUSG00000029671		Wnt16
ENSMUSG00000030093		Wnt7a
ENSMUSG00000027840		Wnt2b
ENSMUSG00000036856		Wnt4
ENSMUSG00000015957		Wnt11
ENSMUSG00000021994		Wnt5a
ENSMUSG00000030170		Wnt5b
