ensg	enst	name
ENSMUSG00000000869		Il4
ENSMUSG00000001741		Il16
ENSMUSG00000003206		Ebi3
ENSMUSG00000016524		Il19
ENSMUSG00000020383		Il13
ENSMUSG00000018914		Il3
ENSMUSG00000016529		Il10
ENSMUSG00000025746		Il6
ENSMUSG00000024578		Il17b
ENSMUSG00000024810		Il33
ENSMUSG00000026416		Il20
ENSMUSG00000025383		Il23a
ENSMUSG00000021538		Il9
ENSMUSG00000025929		Il17a
ENSMUSG00000026984		Il1f6
ENSMUSG00000027776		Il12a
ENSMUSG00000041872		Il17f
ENSMUSG00000029372		Ppbp
ENSMUSG00000027720		Il2
ENSMUSG00000027399		Il1a
ENSMUSG00000034394		Lif
ENSMUSG00000026985		Il1f8
ENSMUSG00000031712		Il15
ENSMUSG00000029437		Il31
ENSMUSG00000027718		Il21
ENSMUSG00000026983		Il1f5
ENSMUSG00000027398		Il1b
ENSMUSG00000040770		Il25
ENSMUSG00000040663		Clcf1
ENSMUSG00000039217		Il18
ENSMUSG00000036117		Il5
ENSMUSG00000044103		Il1f9
ENSMUSG00000046108		Il17c
ENSMUSG00000059201		Lep
ENSMUSG00000042340		Ctf1
ENSMUSG00000044701		Il27
ENSMUSG00000046845		Il1f10
ENSMUSG00000058755		Osm
ENSMUSG00000074695		Il22
ENSMUSG00000004371		Il11
ENSMUSG00000050222		Il17d
ENSMUSG00000031750		Il34
ENSMUSG00000060034		Ctf2
ENSMUSG00000004296		Il12b
ENSMUSG00000079415		Cntf
ENSMUSG00000026420		Il24
ENSMUSG00000090461		Iltifb
ENSMUSG00000040329		Il7
ENSMUSG00000042993		Ifnk
ENSMUSG00000055170		Ifng
ENSMUSG00000048806		Ifnb1
ENSMUSG00000045364		Ifne
ENSMUSG00000100079		Ifnab
ENSMUSG00000095498		Ifna1
ENSMUSG00000060747		Ifnl3
ENSMUSG00000070904		Ifna4
ENSMUSG00000059128		Ifnl2
ENSMUSG00000096854		Ifnz
ENSMUSG00000096682		Ifna5
ENSMUSG00000078354		Ifna2
ENSMUSG00000073811		Ifna12
ENSMUSG00000078355		Ifna16
ENSMUSG00000095896		Ifna14
ENSMUSG00000100713		Ifna7
ENSMUSG00000096011		Ifna15
ENSMUSG00000095270		Ifna9
ENSMUSG00000063376		Ifna13
ENSMUSG00000101252		Ifna6
ENSMUSG00000100549		Ifna11
ENSMUSG00000021367		Edn1
ENSMUSG00000028635		Edn2
ENSMUSG00000027524		Edn3
ENSMUSG00000002384		Bmp8b
ENSMUSG00000008999		Bmp7
ENSMUSG00000032179		Bmp5
ENSMUSG00000023279		Bmp15
ENSMUSG00000022098		Bmp1
ENSMUSG00000027358		Bmp2
ENSMUSG00000032726		Bmp8a
