ensg	name
ENSG00000253729	PRKDC
ENSG00000132382	MYBBP1A
ENSG00000141027	NCOR1
ENSG00000133884	DPF2
ENSG00000111727	HCFC2
ENSG00000277258	PCGF2
ENSG00000164924	YWHAZ
ENSG00000185420	SMYD3
ENSG00000171988	JMJD1C
ENSG00000068903	SIRT2
ENSG00000117139	KDM5B
ENSG00000149554	CHEK1
ENSG00000104517	UBR5
ENSG00000173889	PHC3
ENSG00000160949	TONSL
ENSG00000110851	PRDM4
ENSG00000108557	RAI1
ENSG00000149923	PPP4C
ENSG00000204388	HSPA1B
ENSG00000102038	SMARCA1
ENSG00000012048	BRCA1
ENSG00000143799	PARP1
ENSG00000049768	FOXP3
ENSG00000124177	CHD6
ENSG00000161956	SENP3
ENSG00000065717	TLE2
ENSG00000101945	SUV39H1
ENSG00000071243	ING3
ENSG00000112319	EYA4
ENSG00000136450	SRSF1
ENSG00000120733	KDM3B
ENSG00000146872	TLK2
ENSG00000101126	ADNP
ENSG00000149136	SSRP1
ENSG00000250506	CDK3
ENSG00000170312	CDK1
ENSG00000173011	TADA2B
ENSG00000162227	TAF6L
ENSG00000136504	KAT7
ENSG00000273841	TAF9
ENSG00000225830	ERCC6
ENSG00000129071	MBD4
ENSG00000025293	PHF20
ENSG00000076108	BAZ2A
ENSG00000100298	APOBEC3H
ENSG00000075089	ACTR6
ENSG00000119048	UBE2B
ENSG00000136518	ACTL6A
ENSG00000170322	NFRKB
ENSG00000130713	EXOSC2
ENSG00000172273	HINFP
ENSG00000074201	CLNS1A
ENSG00000163605	PPP4R2
ENSG00000167986	DDB1
ENSG00000116254	CHD5
ENSG00000143970	ASXL2
ENSG00000111875	ASF1A
ENSG00000263001	GTF2I
ENSG00000139372	TDG
ENSG00000166716	ZNF592
ENSG00000171316	CHD7
ENSG00000183741	CBX6
ENSG00000011258	MBTD1
ENSG00000187109	NAP1L1
ENSG00000043143	JADE2
ENSG00000196498	NCOR2
ENSG00000197114	ZGPAT
ENSG00000099860	GADD45B
ENSG00000175097	RAG2
ENSG00000239713	APOBEC3G
ENSG00000066135	KDM4A
ENSG00000100916	BRMS1L
ENSG00000178896	EXOSC4
ENSG00000122390	NAA60
ENSG00000064313	TAF2
ENSG00000001497	LAS1L
ENSG00000131778	CHD1L
ENSG00000124701	APOBEC2
ENSG00000115966	ATF2
ENSG00000105393	BABAM1
ENSG00000163517	HDAC11
ENSG00000173473	SMARCC1
ENSG00000067225	PKM
ENSG00000111424	VDR
ENSG00000129292	PHF20L1
ENSG00000163832	ELP6
ENSG00000147133	TAF1
ENSG00000112238	PRDM13
ENSG00000156802	ATAD2
ENSG00000109911	ELP4
ENSG00000122966	CIT
ENSG00000183495	EP400
ENSG00000094631	HDAC6
ENSG00000131791	PRKAB2
ENSG00000123485	HJURP
ENSG00000163939	PBRM1
ENSG00000198408	MGEA5
ENSG00000105011	ASF1B
ENSG00000101266	CSNK2A1
ENSG00000136014	USP44
ENSG00000108468	CBX1
ENSG00000181163	NPM1
ENSG00000077080	ACTL6B
ENSG00000221926	TRIM16
ENSG00000147180	ZNF711
ENSG00000139718	SETD1B
ENSG00000005302	MSL3
ENSG00000113558	SKP1
ENSG00000142611	PRDM16
ENSG00000166337	TAF10
ENSG00000196367	TRRAP
ENSG00000168395	ING5
ENSG00000135372	NAT10
ENSG00000185513	L3MBTL1
ENSG00000079263	SP140
ENSG00000135801	TAF5L
ENSG00000166349	RAG1
ENSG00000198919	DZIP3
ENSG00000109906	ZBTB16
ENSG00000048052	HDAC9
ENSG00000059758	CDK17
ENSG00000141431	ASXL3
ENSG00000140044	JDP2
ENSG00000131263	RLIM
ENSG00000101040	ZMYND8
ENSG00000135365	PHF21A
ENSG00000165660	FAM175B
ENSG00000166913	YWHAB
ENSG00000163104	SMARCAD1
ENSG00000152382	TADA1
ENSG00000168769	TET2
ENSG00000004487	KDM1A
ENSG00000073584	SMARCE1
ENSG00000175029	CTBP2
ENSG00000163159	VPS72
ENSG00000150459	SAP18
ENSG00000065526	SPEN
ENSG00000185591	SP1
ENSG00000015153	YAF2
ENSG00000028310	BRD9
ENSG00000156983	BRPF1
ENSG00000178999	AURKB
ENSG00000099954	CECR2
ENSG00000164105	SAP30
ENSG00000134046	MBD2
ENSG00000181555	SETD2
ENSG00000106290	TAF6
ENSG00000049618	ARID1B
ENSG00000130711	PRDM12
ENSG00000162676	GFI1
ENSG00000123562	MORF4L2
ENSG00000048649	RSF1
ENSG00000161036	LRWD1
ENSG00000133895	MEN1
ENSG00000135316	SYNCRIP
ENSG00000179750	APOBEC3B
ENSG00000128383	APOBEC3A
ENSG00000243811	APOBEC3D
ENSG00000244509	APOBEC3C
ENSG00000204389	HSPA1A
ENSG00000012963	UBR7
ENSG00000143614	GATAD2B
ENSG00000198830	HMGN2
ENSG00000174197	MGA
ENSG00000135999	EPC2
ENSG00000141644	MBD1
ENSG00000009954	BAZ1B
ENSG00000138433	CIR1
ENSG00000102098	SCML2
ENSG00000187325	TAF9B
ENSG00000100387	RBX1
ENSG00000177565	TBL1XR1
ENSG00000057657	PRDM1
ENSG00000120656	TAF12
ENSG00000213341	CHUK
ENSG00000019549	SNAI2
ENSG00000165156	ZHX1
ENSG00000164256	PRDM9
ENSG00000120837	NFYB
ENSG00000119042	SATB2
ENSG00000061455	PRDM6
ENSG00000085999	RAD54L
ENSG00000155666	KDM8
ENSG00000116750	UCHL5
ENSG00000129691	ASH2L
ENSG00000162302	RPS6KA4
ENSG00000275023	MLLT6
ENSG00000117222	RBBP5
ENSG00000137486	ARRB1
ENSG00000108840	HDAC5
ENSG00000173120	KDM2A
ENSG00000119969	HELLS
ENSG00000109111	SUPT6H
ENSG00000162961	DPY30
ENSG00000204209	DAXX
ENSG00000149929	HIRIP3
ENSG00000134371	CDC73
ENSG00000169592	INO80E
ENSG00000140350	ANP32A
ENSG00000130024	PHF10
ENSG00000143033	MTF2
ENSG00000178913	TAF7
ENSG00000141456	PELP1
ENSG00000100307	CBX7
ENSG00000143258	USP21
ENSG00000166501	PRKCB
ENSG00000150907	FOXO1
ENSG00000129514	FOXA1
ENSG00000134759	ELP2
ENSG00000077152	UBE2T
ENSG00000108604	SMARCD2
ENSG00000077348	EXOSC5
ENSG00000116273	PHF13
ENSG00000146414	SHPRH
ENSG00000136807	CDK9
ENSG00000164885	CDK5
ENSG00000130726	TRIM28
ENSG00000054267	ARID4B
ENSG00000164576	SAP30L
ENSG00000117713	ARID1A
ENSG00000196284	SUPT3H
ENSG00000113812	ACTR8
ENSG00000149311	ATM
ENSG00000113575	PPP2CA
ENSG00000134058	CDK7
ENSG00000130382	MLLT1
ENSG00000186591	UBE2H
ENSG00000164951	PDP1
ENSG00000104320	NBN
ENSG00000227345	PARG
ENSG00000160633	SAFB
ENSG00000127616	SMARCA4
ENSG00000169375	SIN3A
ENSG00000163875	MEAF6
ENSG00000166477	LEO1
ENSG00000103037	SETD6
ENSG00000128394	APOBEC3F
ENSG00000169057	MECP2
ENSG00000172977	KAT5
ENSG00000122565	CBX3
ENSG00000109332	UBE2D3
ENSG00000172534	HCFC1
ENSG00000166266	CUL5
