ensg	name
ENSMUSG00000025050	Pcgf6
ENSMUSG00000024260	Sap130
ENSMUSG00000041215	Yeats2
ENSMUSG00000024740	Ddb1
ENSMUSG00000024642	Tle4
ENSMUSG00000058881	Zfp516
ENSMUSG00000025220	Mgea5
ENSMUSG00000023980	Taf8
ENSMUSG00000024789	Jak2
ENSMUSG00000034321	Exosc1
ENSMUSG00000024193	Phf1
ENSMUSG00000024212	Mllt1
ENSMUSG00000024067	Dpy30
ENSMUSG00000095567	Noc2l
ENSMUSG00000024271	Elp2
ENSMUSG00000024926	Kat5
ENSMUSG00000040694	Apobec2
ENSMUSG00000025049	Taf5
ENSMUSG00000024560	Cxxc1
ENSMUSG00000005370	Msh6
ENSMUSG00000080268	Brms1
ENSMUSG00000044646	Zbtb7c
ENSMUSG00000002835	Chaf1a
ENSMUSG00000030816	Rnf40
ENSMUSG00000038518	Jarid2
ENSMUSG00000043323	Fbrsl1
ENSMUSG00000038331	Satb2
ENSMUSG00000003038	Hmgn2
ENSMUSG00000025001	Hells
ENSMUSG00000020171	Yeats4
ENSMUSG00000025199	Chuk
ENSMUSG00000001017	Chtop
ENSMUSG00000025358	Cdk2
ENSMUSG00000018921	Pelp1
ENSMUSG00000018565	Elp5
ENSMUSG00000048930	Tada3
ENSMUSG00000022479	Vdr
ENSMUSG00000040681	Hmgn1
ENSMUSG00000061607	Mdc1
ENSMUSG00000020257	Wdr82
ENSMUSG00000022400	Rbx1
ENSMUSG00000032030	Cul5
ENSMUSG00000020390	Ube2b
ENSMUSG00000038025	Phf2
ENSMUSG00000031422	Morf4l2
ENSMUSG00000028927	Padi2
ENSMUSG00000032187	Smarca4
ENSMUSG00000030330	Ing4
ENSMUSG00000044783	Hjurp
ENSMUSG00000029505	Ep400
ENSMUSG00000024921	Smarca2
ENSMUSG00000067567	Hdac8
ENSMUSG00000022019	Tdrd3
ENSMUSG00000031309	Rps6ka3
ENSMUSG00000020124	Usp15
ENSMUSG00000038902	Pogz
ENSMUSG00000047654	Tssk6
ENSMUSG00000031066	Usp11
ENSMUSG00000040363	Bcor
ENSMUSG00000028333	Anp32b
ENSMUSG00000027018	Hat1
ENSMUSG00000016308	Ube2a
ENSMUSG00000036180	Gatad2a
ENSMUSG00000023852	Chd1
ENSMUSG00000026739	Bmi1
ENSMUSG00000091971	Hspa1a
ENSMUSG00000031758	Cdyl2
ENSMUSG00000053411	Cbx7
ENSMUSG00000020661	Dnmt3a
ENSMUSG00000009585	Apobec3
ENSMUSG00000017485	Top2b
ENSMUSG00000028820	Sfpq
ENSMUSG00000025529	Zfp711
ENSMUSG00000003778	Brd8
ENSMUSG00000022521	Crebbp
ENSMUSG00000028224	Nbn
ENSMUSG00000078671	Chd2
ENSMUSG00000035478	Mbd3
ENSMUSG00000046058	Eid2
ENSMUSG00000026563	Tada1
ENSMUSG00000070705	Eid2b
ENSMUSG00000029836	Cbx3
ENSMUSG00000025878	Uimc1
ENSMUSG00000048495	Tyw5
ENSMUSG00000067713	Prkag1
ENSMUSG00000037652	Phc3
ENSMUSG00000025764	Jade1
ENSMUSG00000030322	Mbd4
ENSMUSG00000030350	Prmt8
ENSMUSG00000026603	Smyd2
ENSMUSG00000041229	Phf8
ENSMUSG00000002748	Baz1b
ENSMUSG00000027569	Mrgbp
ENSMUSG00000022945	Chaf1b
ENSMUSG00000053470	Kdm3a
ENSMUSG00000026873	Phf19
