ensg	enst	name
ENSMUSG00000000290		Itgb2
ENSMUSG00000001507		Itga3
ENSMUSG00000001281		Itgb7
ENSMUSG00000005947		Itgae
ENSMUSG00000020758		Itgb4
ENSMUSG00000020689		Itgb3
ENSMUSG00000000555		Itga5
ENSMUSG00000026768		Itga8
ENSMUSG00000025321		Itgb8
ENSMUSG00000027111		Itga6
ENSMUSG00000037295		Ldlrap1
ENSMUSG00000039115		Itga9
ENSMUSG00000030789		Itgax
ENSMUSG00000032243		Itga11
ENSMUSG00000027087		Itgav
ENSMUSG00000026971		Itgb6
ENSMUSG00000070369		Itgad
ENSMUSG00000090210		Itga10
ENSMUSG00000032193		Ldlr
ENSMUSG00000048058		Ldlrad3
ENSMUSG00000042284		Itga1
ENSMUSG00000015533		Itga2
ENSMUSG00000030786		Itgam
ENSMUSG00000024544		Ldlrad4
ENSMUSG00000022817		Itgb5
ENSMUSG00000070877		Ldlrad1
ENSMUSG00000025809		Itgb1
ENSMUSG00000034664		Itga2b
ENSMUSG00000027009		Itga4
ENSMUSG00000025348		Itga7
ENSMUSG00000030830		Itgal
ENSMUSG00000094035		Ldlrad2
