ensg	enst	name
ENSMUSG00000020090		Npffr1
ENSMUSG00000019865		Nmbr
ENSMUSG00000020081		Tacr2
ENSMUSG00000026237		Nmur1
ENSMUSG00000037393		Nmur2
ENSMUSG00000030043		Tacr1
ENSMUSG00000028172		Tacr3
ENSMUSG00000036437		Npy1r
ENSMUSG00000028778		Hcrtr1
ENSMUSG00000038071		Npy6r
ENSMUSG00000033774		Npbwr1
ENSMUSG00000031364		Grpr
ENSMUSG00000031130		Brs3
ENSMUSG00000027568		Ntsr1
ENSMUSG00000028004		Npy2r
ENSMUSG00000035528		Npffr2
ENSMUSG00000020793		Galr2
ENSMUSG00000048337		Npy4r
ENSMUSG00000079700		Fpr3
ENSMUSG00000044014		Npy5r
ENSMUSG00000024553		Galr1
ENSMUSG00000045551		Fpr1
ENSMUSG00000043659		Npsr1
ENSMUSG00000032360		Hcrtr2
ENSMUSG00000114755		Galr3
ENSMUSG00000051136		Ghsr
ENSMUSG00000052270		Fpr2
ENSMUSG00000058400		Qrfpr
ENSMUSG00000020591		Ntsr2
ENSMUSG00000029917		C130060K24Rik
ENSMUSG00000050164		Mchr1
