ensg	enst	name
ENSMUSG00000005823		Gpr108
ENSMUSG00000008734		Gprc5b
ENSMUSG00000051043		Gprc5c
ENSMUSG00000020140		Lgr5
ENSMUSG00000019905		Gprc6a
ENSMUSG00000024958		Gpr137
ENSMUSG00000021306		Gpr137b
ENSMUSG00000022131		Gpr180
ENSMUSG00000026424		Gpr37l1
ENSMUSG00000021298		Gpr132
ENSMUSG00000025333		Gpr143
ENSMUSG00000026271		Gpr35
ENSMUSG00000026343		Gpr39
ENSMUSG00000041468		Gpr12
ENSMUSG00000031070		Mrgprf
ENSMUSG00000040229		Gpr34
ENSMUSG00000040133		Gpr176
ENSMUSG00000031932		Gpr83
ENSMUSG00000028096		Gpr89
ENSMUSG00000030205		Gprc5d
ENSMUSG00000035148		Gpr33
ENSMUSG00000040372		Gpr63
ENSMUSG00000031210		Gpr165
ENSMUSG00000041762		Gpr155
ENSMUSG00000048965		Mrgpre
ENSMUSG00000044197		Gpr146
ENSMUSG00000052229		Gpr17
ENSMUSG00000045967		Gpr158
ENSMUSG00000051209		Gpr119
ENSMUSG00000046856		Gpr1
ENSMUSG00000038390		Gpr162
ENSMUSG00000043441		Gpr149
ENSMUSG00000000194		Gpr107
ENSMUSG00000042816		Gpr151
ENSMUSG00000042793		Lgr6
ENSMUSG00000043398		Gpr135
ENSMUSG00000051431		Gpr87
ENSMUSG00000047678		Gpr82
ENSMUSG00000047415		Gpr68
ENSMUSG00000044067		Gpr22
ENSMUSG00000050199		Lgr4
ENSMUSG00000042804		Gpr153
ENSMUSG00000050350		Gpr18
ENSMUSG00000051207		Mrgprd
ENSMUSG00000050276		Mrgprg
ENSMUSG00000044317		Gpr4
ENSMUSG00000037661		Gpr160
ENSMUSG00000053101		Gpr141
ENSMUSG00000056679		Gpr173
ENSMUSG00000045509		Gpr150
ENSMUSG00000056529		Ptafr
ENSMUSG00000049649		Gpr3
ENSMUSG00000039904		Gpr37
ENSMUSG00000046793		Gpr61
ENSMUSG00000056380		Gpr50
ENSMUSG00000045441		Gprin3
ENSMUSG00000045281		Gpr20
ENSMUSG00000046922		Gpr6
ENSMUSG00000032641		Gpr19
ENSMUSG00000046733		Gprc5a
ENSMUSG00000053164		Gpr21
ENSMUSG00000050425		Mrgprb2
ENSMUSG00000040125		Gpr26
ENSMUSG00000046961		Gpr156
ENSMUSG00000048216		Gpr85
ENSMUSG00000036357		Gpr101
ENSMUSG00000051212		Gpr183
ENSMUSG00000034677		Gpr142
ENSMUSG00000070547		Mrgprb1
ENSMUSG00000047293		Gpr15
ENSMUSG00000070552		Mrgprx1
ENSMUSG00000063234		Gpr84
ENSMUSG00000068696		Gpr88
ENSMUSG00000047875		Gpr157
ENSMUSG00000066197		Gpr139
ENSMUSG00000021886		Gpr65
ENSMUSG00000052759		Gpr25
ENSMUSG00000058396		Gpr182
ENSMUSG00000049608		Gpr55
ENSMUSG00000071311		Gpr31b
ENSMUSG00000050075		Gpr171
ENSMUSG00000071531		Gprin2
ENSMUSG00000068037		Mas1
ENSMUSG00000044724		Gpr152
ENSMUSG00000070337		Gpr179
ENSMUSG00000069227		Gprin1
ENSMUSG00000074111		Mrgpra9
ENSMUSG00000050650		Mrgpra1
ENSMUSG00000073008		Gpr174
ENSMUSG00000074109		Mrgprx2
ENSMUSG00000072875		Gpr27
ENSMUSG00000043999		Gpr75
ENSMUSG00000040836		Gpr161
ENSMUSG00000041907		Gpr45
ENSMUSG00000049092		Gpr137c
ENSMUSG00000047462		Gpr141b
ENSMUSG00000091735		Gpr62
