ensg	enst	name
ENSMUSG00000000791		Il12rb1
ENSMUSG00000006389		Mpl
ENSMUSG00000006235		Epor
ENSMUSG00000003882		Il7r
ENSMUSG00000005268		Prlr
ENSMUSG00000020279		Il9r
ENSMUSG00000018341		Il12rb2
ENSMUSG00000026770		Il2ra
ENSMUSG00000022146		Osmr
ENSMUSG00000027947		Il6ra
ENSMUSG00000028859		Csf3r
ENSMUSG00000030745		Il21r
ENSMUSG00000031289		Il13ra2
ENSMUSG00000031304		Il2rg
ENSMUSG00000057722		Lepr
ENSMUSG00000017057		Il13ra1
ENSMUSG00000030748		Il4ra
ENSMUSG00000021756		Il6st
ENSMUSG00000033467		Crlf2
ENSMUSG00000028444		Cntfr
ENSMUSG00000055737		Ghr
ENSMUSG00000054263		Lifr
ENSMUSG00000068227		Il2rb
ENSMUSG00000059326		Csf2ra
ENSMUSG00000023206		Il15ra
ENSMUSG00000071714		Csf2rb2
ENSMUSG00000068758		Il3ra
ENSMUSG00000071713		Csf2rb
ENSMUSG00000078735		Il11ra2
ENSMUSG00000073889		Il11ra1
ENSMUSG00000005364		Il5ra
