ensg	enst	name
ENSMUSG00000000120		Ngfr
ENSMUSG00000003227		Edar
ENSMUSG00000008318		Relt
ENSMUSG00000017652		Cd40
ENSMUSG00000010142		Tnfrsf13b
ENSMUSG00000026321		Tnfrsf11a
ENSMUSG00000024793		Tnfrsf25
ENSMUSG00000022496		Tnfrsf17
ENSMUSG00000024778		Fas
ENSMUSG00000023915		Tnfrsf21
ENSMUSG00000022074		Tnfrsf10b
ENSMUSG00000023905		Tnfrsf12a
ENSMUSG00000041954		Tnfrsf18
ENSMUSG00000028965		Tnfrsf9
ENSMUSG00000029075		Tnfrsf4
ENSMUSG00000028599		Tnfrsf1b
ENSMUSG00000028602		Tnfrsf8
ENSMUSG00000037613		Tnfrsf23
ENSMUSG00000030341		Tnfrsf1a
ENSMUSG00000030339		Ltbr
ENSMUSG00000030336		Cd27
ENSMUSG00000045362		Tnfrsf26
ENSMUSG00000063727		Tnfrsf11b
ENSMUSG00000010751		Tnfrsf22
ENSMUSG00000068105		Tnfrsf13c
ENSMUSG00000060548		Tnfrsf19
ENSMUSG00000042333		Tnfrsf14
