ensg	enst	name
ENSMUSG00000000791		Il12rb1
ENSMUSG00000006389		Mpl
ENSMUSG00000006235		Epor
ENSMUSG00000003882		Il7r
ENSMUSG00000005268		Prlr
ENSMUSG00000020279		Il9r
ENSMUSG00000018341		Il12rb2
ENSMUSG00000026770		Il2ra
ENSMUSG00000022146		Osmr
ENSMUSG00000027947		Il6ra
ENSMUSG00000028859		Csf3r
ENSMUSG00000030745		Il21r
ENSMUSG00000031289		Il13ra2
ENSMUSG00000031304		Il2rg
ENSMUSG00000057722		Lepr
ENSMUSG00000017057		Il13ra1
ENSMUSG00000030748		Il4ra
ENSMUSG00000021756		Il6st
ENSMUSG00000033467		Crlf2
ENSMUSG00000028444		Cntfr
ENSMUSG00000055737		Ghr
ENSMUSG00000054263		Lifr
ENSMUSG00000068227		Il2rb
ENSMUSG00000059326		Csf2ra
ENSMUSG00000023206		Il15ra
ENSMUSG00000071714		Csf2rb2
ENSMUSG00000068758		Il3ra
ENSMUSG00000071713		Csf2rb
ENSMUSG00000078735		Il11ra2
ENSMUSG00000073889		Il11ra1
ENSMUSG00000005364		Il5ra
ENSMUSG00000020009		Ifngr1
ENSMUSG00000020007		Il20ra
ENSMUSG00000022971		Ifnar2
ENSMUSG00000022967		Ifnar1
ENSMUSG00000022965		Ifngr2
ENSMUSG00000022969		Il10rb
ENSMUSG00000032089		Il10ra
ENSMUSG00000039760		Il22ra2
ENSMUSG00000062157		Ifnlr1
ENSMUSG00000044244		Il20rb
ENSMUSG00000037157		Il22ra1
ENSMUSG00000000532		Acvr1b
ENSMUSG00000007613		Tgfbr1
ENSMUSG00000052430		Bmpr1b
ENSMUSG00000026836		Acvr1
ENSMUSG00000021796		Bmpr1a
ENSMUSG00000023047		Amhr2
ENSMUSG00000061393		Acvr2b
ENSMUSG00000052155		Acvr2a
ENSMUSG00000067336		Bmpr2
ENSMUSG00000020122		Egfr
ENSMUSG00000062312		Erbb2
ENSMUSG00000018166		Erbb3
ENSMUSG00000062209		Erbb4
ENSMUSG00000005533		Igf1r
ENSMUSG00000019893		Ros1
ENSMUSG00000005640		Insrr
ENSMUSG00000005534		Insr
ENSMUSG00000029231		Pdgfra
ENSMUSG00000005672		Kit
ENSMUSG00000024620		Pdgfrb
ENSMUSG00000024621		Csf1r
ENSMUSG00000031595		Pdgfrl
ENSMUSG00000042817		Flt3
ENSMUSG00000005320		Fgfr4
ENSMUSG00000054252		Fgfr3
ENSMUSG00000031565		Fgfr1
ENSMUSG00000030849		Fgfr2
ENSMUSG00000020357		Flt4
ENSMUSG00000029648		Flt1
ENSMUSG00000062960		Kdr
ENSMUSG00000032584		Mst1r
ENSMUSG00000009376		Met
ENSMUSG00000028072		Ntrk1
ENSMUSG00000059146		Ntrk3
ENSMUSG00000055254		Ntrk2
ENSMUSG00000005958		Ephb3
ENSMUSG00000006445		Epha2
ENSMUSG00000026235		Epha4
ENSMUSG00000032537		Ephb1
ENSMUSG00000028289		Epha7
ENSMUSG00000028661		Epha8
ENSMUSG00000029710		Ephb4
ENSMUSG00000052504		Epha3
ENSMUSG00000029245		Epha5
ENSMUSG00000055540		Epha6
ENSMUSG00000028664		Ephb2
ENSMUSG00000029859		Epha1
ENSMUSG00000029869		Ephb6
ENSMUSG00000002602		Axl
ENSMUSG00000014361		Mertk
ENSMUSG00000027298		Tyro3
ENSMUSG00000027297		Ltk
ENSMUSG00000055471		Alk
ENSMUSG00000033191		Tie1
ENSMUSG00000006386		Tek
ENSMUSG00000021464		Ror2
ENSMUSG00000035305		Ror1
ENSMUSG00000003534		Ddr1
ENSMUSG00000026674		Ddr2
ENSMUSG00000030110		Ret
ENSMUSG00000038970		Lmtk2
ENSMUSG00000032547		Ryk
ENSMUSG00000023972		Ptk7
ENSMUSG00000025375		Aatk
ENSMUSG00000062044		Lmtk3
ENSMUSG00000057280		Musk
ENSMUSG00000000120		Ngfr
ENSMUSG00000003227		Edar
ENSMUSG00000008318		Relt
ENSMUSG00000017652		Cd40
ENSMUSG00000010142		Tnfrsf13b
ENSMUSG00000026321		Tnfrsf11a
ENSMUSG00000024793		Tnfrsf25
ENSMUSG00000022496		Tnfrsf17
ENSMUSG00000024778		Fas
ENSMUSG00000023915		Tnfrsf21
ENSMUSG00000022074		Tnfrsf10b
ENSMUSG00000023905		Tnfrsf12a
ENSMUSG00000041954		Tnfrsf18
ENSMUSG00000028965		Tnfrsf9
ENSMUSG00000029075		Tnfrsf4
ENSMUSG00000028599		Tnfrsf1b
ENSMUSG00000028602		Tnfrsf8
ENSMUSG00000037613		Tnfrsf23
ENSMUSG00000030341		Tnfrsf1a
ENSMUSG00000030339		Ltbr
ENSMUSG00000030336		Cd27
ENSMUSG00000045362		Tnfrsf26
ENSMUSG00000063727		Tnfrsf11b
ENSMUSG00000010751		Tnfrsf22
ENSMUSG00000068105		Tnfrsf13c
ENSMUSG00000060548		Tnfrsf19
ENSMUSG00000042333		Tnfrsf14
ENSMUSG00000026073		Il1r2
ENSMUSG00000026068		Il18rap
ENSMUSG00000022514		Il1rap
ENSMUSG00000026072		Il1r1
ENSMUSG00000026069		Il1rl1
ENSMUSG00000025494		Sigirr
ENSMUSG00000059203		Il1rapl2
