ensg	name
ENSMUSG00000074368	
ENSMUSG00000079808	
ENSMUSG00000074829	
ENSMUSG00000070709	1700049G17Rik
ENSMUSG00000078894	2210418O10Rik
ENSMUSG00000002345	2310045N01Rik
ENSMUSG00000060301	2610008E11Rik
ENSMUSG00000066000	2610305D13Rik
ENSMUSG00000053080	2700081O15Rik
ENSMUSG00000020491	2810021J22Rik
ENSMUSG00000089922	3110039M20Rik
ENSMUSG00000035868	3110052M02Rik
ENSMUSG00000051278	4930422G04Rik
ENSMUSG00000072762	4930522L14Rik
ENSMUSG00000058670	4932411N23Rik
ENSMUSG00000072763	5430403G16Rik
ENSMUSG00000004071	5730403B10Rik
ENSMUSG00000073197	5730507C01Rik
ENSMUSG00000030823	9130019O22Rik
ENSMUSG00000062944	9130023H24Rik
ENSMUSG00000090982	9430076C15Rik
ENSMUSG00000074158	9830147E19Rik
ENSMUSG00000056014	A430033K04Rik
ENSMUSG00000021510	A530054K11Rik
ENSMUSG00000058093	AA987161
ENSMUSG00000053950	ADNP2
ENSMUSG00000056383	AI987944
ENSMUSG00000007880	ARID1A
ENSMUSG00000069729	ARID1B
ENSMUSG00000019564	ARID3A
ENSMUSG00000004661	ARID3B
ENSMUSG00000066224	ARID3C
ENSMUSG00000048118	ARID4A
ENSMUSG00000039219	ARID4B
ENSMUSG00000037447	ARID5A
ENSMUSG00000019947	ARID5B
ENSMUSG00000085111	ASCL4
ENSMUSG00000099083	ATF7
ENSMUSG00000031229	ATRX
ENSMUSG00000078435	AU041133
ENSMUSG00000074166	AW146154
ENSMUSG00000005580	Adcy9
ENSMUSG00000051149	Adnp
ENSMUSG00000030232	Aebp2
ENSMUSG00000029313	Aff1
ENSMUSG00000031189	Aff2
ENSMUSG00000037138	Aff3
ENSMUSG00000049470	Aff4
ENSMUSG00000019256	Ahr
ENSMUSG00000021575	Ahrr
ENSMUSG00000000731	Aire
ENSMUSG00000036602	Alx1
ENSMUSG00000014603	Alx3
ENSMUSG00000040310	Alx4
ENSMUSG00000025269	Apex2
ENSMUSG00000046532	Ar
ENSMUSG00000033237	Arid2
ENSMUSG00000015522	Arnt
ENSMUSG00000015709	Arnt2
ENSMUSG00000055116	Arntl
ENSMUSG00000040187	Arntl2
ENSMUSG00000035277	Arx
ENSMUSG00000020052	Ascl1
ENSMUSG00000009248	Ascl2
ENSMUSG00000035951	Ascl3
ENSMUSG00000023027	Atf1
ENSMUSG00000027104	Atf2
ENSMUSG00000026628	Atf3
ENSMUSG00000042406	Atf4
ENSMUSG00000038539	Atf5
ENSMUSG00000026663	Atf6
ENSMUSG00000015461	Atf6b
ENSMUSG00000052414	Atf7
ENSMUSG00000073043	Atoh1
ENSMUSG00000036816	Atoh7
ENSMUSG00000037621	Atoh8
ENSMUSG00000022641	BBX
ENSMUSG00000074862	BC025920
ENSMUSG00000053175	BCL3
ENSMUSG00000025612	Bach1
ENSMUSG00000040270	Bach2
ENSMUSG00000026805	Barhl1
ENSMUSG00000034384	Barhl2
ENSMUSG00000021381	Barx1
ENSMUSG00000032033	Barx2
ENSMUSG00000034266	Batf
ENSMUSG00000039699	Batf2
ENSMUSG00000026630	Batf3
ENSMUSG00000035021	Baz1a
ENSMUSG00000040054	Baz2a
ENSMUSG00000026987	Baz2b
ENSMUSG00000000861	Bcl11a
ENSMUSG00000048251	Bcl11b
ENSMUSG00000022508	Bcl6
ENSMUSG00000000317	Bcl6b
ENSMUSG00000052271	Bhlha15
ENSMUSG00000044243	Bhlha9
ENSMUSG00000025128	Bhlhe22
ENSMUSG00000045493	Bhlhe23
ENSMUSG00000030103	Bhlhe40
ENSMUSG00000030256	Bhlhe41
ENSMUSG00000090247	Bloc1s1
ENSMUSG00000049086	Bmyc
ENSMUSG00000025105	Bnc1
ENSMUSG00000028487	Bnc2
ENSMUSG00000040481	Bptf
ENSMUSG00000054360	Bsx
ENSMUSG00000057093	C030039L03Rik
ENSMUSG00000042507	C130039O16Rik
ENSMUSG00000074529	C330013J21Rik
ENSMUSG00000028977	CASZ1
ENSMUSG00000005442	CIC
ENSMUSG00000038784	CNOT4
ENSMUSG00000038002	CRAMP1L
ENSMUSG00000035041	CREB3L3
ENSMUSG00000032515	CSRNP1
ENSMUSG00000044636	CSRNP2
ENSMUSG00000044647	CSRNP3
ENSMUSG00000024560	CXXC1
ENSMUSG00000014592	Camta1
ENSMUSG00000040712	Camta2
ENSMUSG00000008393	Carhsp1
ENSMUSG00000031885	Cbfb
ENSMUSG00000034035	Ccdc17
ENSMUSG00000052616	Ccdc79
ENSMUSG00000023932	Cdc5l
ENSMUSG00000024619	Cdx1
ENSMUSG00000029646	Cdx2
ENSMUSG00000031326	Cdx4
ENSMUSG00000034957	Cebpa
ENSMUSG00000056501	Cebpb
ENSMUSG00000052435	Cebpe
ENSMUSG00000056216	Cebpg
ENSMUSG00000090258	Churc1
ENSMUSG00000029238	Clock
ENSMUSG00000036550	Cnot1
ENSMUSG00000072678	Cphx
ENSMUSG00000025958	Creb1
ENSMUSG00000028466	Creb3
ENSMUSG00000027230	Creb3l1
ENSMUSG00000038648	Creb3l2
ENSMUSG00000027938	Creb3l4
ENSMUSG00000053007	Creb5
ENSMUSG00000022521	Crebbp
ENSMUSG00000032652	Crebl2
ENSMUSG00000051451	Crebzf
ENSMUSG00000063889	Crem
ENSMUSG00000041578	Crx
ENSMUSG00000074365	Crxos1
ENSMUSG00000030189	Csda
ENSMUSG00000042109	Csdc2
ENSMUSG00000068823	Csde1
ENSMUSG00000005698	Ctcf
ENSMUSG00000070495	Ctcfl
