ensg	ensp	name
ENSG00000048028	ENSP00000003302 	USP28
ENSG00000007944	ENSP00000008686 	MYLIP
ENSG00000012963	ENSP00000013070 	UBR7
ENSG00000068308	ENSP00000156084 	OTUD5
ENSG00000075975	ENSP00000170447 	MKRN2
ENSG00000079999	ENSP00000171111 	KEAP1
ENSG00000089723	ENSP00000203664 	OTUB2
ENSG00000076321	ENSP00000209884 	KLHL20
ENSG00000099785	ENSP00000215555 	MARCH2
ENSG00000099804	ENSP00000215574 	CDC34
ENSG00000099949	ENSP00000215739 	LZTR1
ENSG00000184979	ENSP00000215794 	USP18
ENSG00000099999	ENSP00000215798 	RNF215
ENSG00000100105	ENSP00000215919 	PATZ1
ENSG00000100221	ENSP00000216039 	JOSD1
ENSG00000100387	ENSP00000216225 	RBX1
ENSG00000100532	ENSP00000216420 	CGRRF1
ENSG00000101197	ENSP00000217169 	BIRC7
ENSG00000101695	ENSP00000217740 	RNF125
ENSG00000102057	ENSP00000218176 	KCND1
ENSG00000102128	ENSP00000218249 	RAB40AL
ENSG00000102226	ENSP00000218348 	USP11
ENSG00000103035	ENSP00000219313 	PSMD7
ENSG00000103194	ENSP00000219473 	USP10
ENSG00000103266	ENSP00000219548 	STUB1
ENSG00000103404	ENSP00000219689 	USP31
ENSG00000104756	ENSP00000221200 	KCTD9
ENSG00000104848	ENSP00000221444 	KCNA7
ENSG00000105428	ENSP00000222033 	ZNRF4
ENSG00000105694	ENSP00000222301 	AC104537.1
ENSG00000078967	ENSP00000222402 	UBE2D4
ENSG00000105879	ENSP00000222597 	CBLL1
ENSG00000107872	ENSP00000224862 	FBXL15
ENSG00000108733	ENSP00000225873 	PEX12
ENSG00000109079	ENSP00000226225 	TNFAIP1
ENSG00000109466	ENSP00000226725 	KLHL2
ENSG00000110042	ENSP00000227451 	DTX4
ENSG00000110107	ENSP00000227524 	PRPF19
ENSG00000110330	ENSP00000227758 	BIRC2
ENSG00000110906	ENSP00000228495 	KCTD10
ENSG00000111667	ENSP00000229268 	USP5
ENSG00000112029	ENSP00000229758 	FBXO5
ENSG00000112234	ENSP00000229971 	FBXL4
ENSG00000112343	ENSP00000230099 	TRIM38
ENSG00000112365	ENSP00000230122 	ZBTB24
ENSG00000113558	ENSP00000231487 	SKP1
ENSG00000113595	ENSP00000231524 	TRIM23
ENSG00000113916	ENSP00000232014 	BCL6
ENSG00000114062	ENSP00000232165 	UBE3A
ENSG00000114626	ENSP00000232744 	ABTB1
ENSG00000114648	ENSP00000232766 	KLHL18
ENSG00000114853	ENSP00000232974 	ZBTB47
ENSG00000115289	ENSP00000233630 	PCGF1
ENSG00000115392	ENSP00000233741 	FANCL
ENSG00000116514	ENSP00000235150 	RNF19B
ENSG00000118496	ENSP00000237281 	FBXO30
ENSG00000239305	ENSP00000237455 	RNF103
ENSG00000107372	ENSP00000237937 	ZFAND5
ENSG00000120925	ENSP00000240159 	RNF170
ENSG00000121067	ENSP00000240327 	SPOP
ENSG00000106336	ENSP00000241071 	FBXO24
ENSG00000123091	ENSP00000242719 	RNF11
ENSG00000114796	ENSP00000242810 	KLHL24
ENSG00000124226	ENSP00000244061 	RNF114
ENSG00000204618	ENSP00000244360 	RNF39
ENSG00000112146	ENSP00000244426 	FBXO9
ENSG00000130584	ENSP00000245663 	ZBTB46
ENSG00000126261	ENSP00000246548 	UBA2
ENSG00000012048	ENSP00000246907 	BRCA1
ENSG00000127191	ENSP00000247668 	TRAF2
ENSG00000127452	ENSP00000247977 	FBXL12
ENSG00000059145	ENSP00000248104 	UNKL
ENSG00000197562	ENSP00000248139 	RAB40C
ENSG00000127688	ENSP00000248272 	GAN
ENSG00000128253	ENSP00000248980 	RFPL2
ENSG00000128253	ENSP00000248983 	RFPL2
ENSG00000128276	ENSP00000249007 	RFPL3
ENSG00000033800	ENSP00000249636 	PIAS1
ENSG00000129204	ENSP00000250066 	USP6
ENSG00000132879	ENSP00000251546 	FBXO44
ENSG00000132879	ENSP00000251547 	FBXO44
ENSG00000085982	ENSP00000251722 	USP40
ENSG00000008853	ENSP00000251822 	RHOBTB2
ENSG00000101901	ENSP00000251943 	ALG13
ENSG00000074319	ENSP00000251968 	TSG101
ENSG00000110344	ENSP00000252108 	UBE4A
ENSG00000133884	ENSP00000252268 	DPF2
ENSG00000130037	ENSP00000252321 	KCNA5
ENSG00000130725	ENSP00000253023 	UBE2M
ENSG00000130726	ENSP00000253024 	TRIM28
ENSG00000130939	ENSP00000253251 	UBE4B
ENSG00000131263	ENSP00000253571 	RLIM
ENSG00000131508	ENSP00000253815 	UBE2D2
ENSG00000131864	ENSP00000254181 	USP29
ENSG00000132109	ENSP00000254436 	TRIM21
ENSG00000132481	ENSP00000254816 	TRIM47
ENSG00000125826	ENSP00000254960 	RBCK1
ENSG00000132640	ENSP00000254977 	BTBD3
ENSG00000132972	ENSP00000255324 	RNF17
ENSG00000132972	ENSP00000255325 	RNF17
ENSG00000132972	ENSP00000255326 	RNF17
ENSG00000133135	ENSP00000255499 	RNF128
ENSG00000133243	ENSP00000255608 	BTBD2
ENSG00000133606	ENSP00000255977 	MKRN1
ENSG00000133874	ENSP00000256257 	RNF122
ENSG00000134086	ENSP00000256474 	VHL
ENSG00000134253	ENSP00000256649 	TRIM45
ENSG00000049759	ENSP00000256830 	NEDD4L
ENSG00000049759	ENSP00000256832 	NEDD4L
ENSG00000134758	ENSP00000257190 	RNF138
ENSG00000135093	ENSP00000257548 	USP30
ENSG00000135119	ENSP00000257575 	RNFT2
ENSG00000135144	ENSP00000257600 	DTX1
ENSG00000112182	ENSP00000257749 	BACH2
ENSG00000135365	ENSP00000257821 	PHF21A
ENSG00000135473	ENSP00000257931 	PAN2
ENSG00000135655	ENSP00000258123 	USP15
ENSG00000135679	ENSP00000258148 	MDM2
ENSG00000135679	ENSP00000258149 	MDM2
ENSG00000135686	ENSP00000258157 	KLHL36
ENSG00000135722	ENSP00000258200 	FBXL8
ENSG00000135870	ENSP00000258349 	RC3H1
ENSG00000135913	ENSP00000258399 	USP37
ENSG00000136014	ENSP00000258499 	USP44
ENSG00000136144	ENSP00000258646 	RCBTB1
ENSG00000136536	ENSP00000259050 	MARCH7
ENSG00000136636	ENSP00000259154 	KCTD3
ENSG00000137075	ENSP00000259605 	RNF38
ENSG00000137384	ENSP00000259930 	TRIM15
ENSG00000137393	ENSP00000259939 	RNF144B
ENSG00000137394	ENSP00000259941 	TRIM10
ENSG00000036672	ENSP00000260187 	USP2
ENSG00000048028	ENSP00000260188 	USP28
ENSG00000138152	ENSP00000260723 	BTBD16
ENSG00000138376	ENSP00000260947 	BARD1
ENSG00000138411	ENSP00000260983 	HECW2
ENSG00000020426	ENSP00000261245 	MNAT1
ENSG00000092148	ENSP00000261312 	HECTD1
ENSG00000109790	ENSP00000261425 	KLHL5
ENSG00000109790	ENSP00000261426 	KLHL5
ENSG00000078140	ENSP00000261427 	UBE2K
ENSG00000082512	ENSP00000261464 	TRAF5
ENSG00000124422	ENSP00000261497 	USP22
ENSG00000101752	ENSP00000261537 	MIB1
ENSG00000134758	ENSP00000261593 	RNF138
ENSG00000101557	ENSP00000261601 	USP14
ENSG00000128731	ENSP00000261609 	HERC2
ENSG00000103429	ENSP00000261658 	BFAR
ENSG00000089775	ENSP00000261683 	ZBTB25
ENSG00000064726	ENSP00000261721 	BTBD1
ENSG00000086666	ENSP00000261749 	ZFAND6
ENSG00000089094	ENSP00000261824 	KDM2B
ENSG00000113269	ENSP00000261947 	RNF130
ENSG00000078043	ENSP00000262161 	PIAS2
ENSG00000055609	ENSP00000262189 	MLL3
ENSG00000108395	ENSP00000262294 	TRIM37
ENSG00000102858	ENSP00000262370 	MGRN1
ENSG00000109046	ENSP00000262394 	WSB1
ENSG00000076604	ENSP00000262395 	TRAF4
ENSG00000076604	ENSP00000262396 	TRAF4
ENSG00000108854	ENSP00000262435 	SMURF2
ENSG00000116254	ENSP00000262450 	CHD5
ENSG00000108523	ENSP00000262482 	RNF167
ENSG00000080802	ENSP00000262563 	CNOT4
ENSG00000011590	ENSP00000262630 	ZBTB32
ENSG00000078747	ENSP00000262650 	ITCH
ENSG00000003096	ENSP00000262820 	KLHL13
ENSG00000080561	ENSP00000262843 	MID2
ENSG00000086758	ENSP00000262854 	HUWE1
ENSG00000085382	ENSP00000262903 	HACE1
ENSG00000034063	ENSP00000262952 	UHRF1
ENSG00000008382	ENSP00000262966 	MPND
ENSG00000105229	ENSP00000262971 	PIAS4
ENSG00000107341	ENSP00000263228 	UBE2R2
ENSG00000023445	ENSP00000263464 	BIRC3
ENSG00000115239	ENSP00000263634 	ASB3
ENSG00000121440	ENSP00000263666 	PDZRN3
ENSG00000072201	ENSP00000263925 	LNX1
ENSG00000058056	ENSP00000263966 	USP13
ENSG00000109670	ENSP00000263981 	FBXW7
ENSG00000115464	ENSP00000263989 	USP34
ENSG00000110395	ENSP00000264033 	CBL
ENSG00000114423	ENSP00000264122 	CBLB
ENSG00000090432	ENSP00000264198 	MUL1
ENSG00000138641	ENSP00000264345 	HERC3
ENSG00000138642	ENSP00000264346 	HERC6
ENSG00000138646	ENSP00000264350 	HERC5
ENSG00000036257	ENSP00000264414 	CUL3
ENSG00000108106	ENSP00000264552 	UBE2S
ENSG00000070047	ENSP00000264555 	PHRF1
ENSG00000065802	ENSP00000264607 	ASB1
ENSG00000108306	ENSP00000264658 	FBXL20
ENSG00000090316	ENSP00000264750 	MAEA
ENSG00000070950	ENSP00000264926 	RAD18
ENSG00000072803	ENSP00000265094 	FBXW11
ENSG00000119048	ENSP00000265339 	UBE2B
ENSG00000122515	ENSP00000265346 	ZMIZ2
ENSG00000044090	ENSP00000265348 	CUL7
ENSG00000123124	ENSP00000265428 	WWP1
ENSG00000002746	ENSP00000265522 	HECW1
ENSG00000114316	ENSP00000265560 	USP4
ENSG00000110429	ENSP00000265651 	FBXO3
ENSG00000083168	ENSP00000265713 	KAT6A
ENSG00000001629	ENSP00000265742 	ANKIB1
ENSG00000129159	ENSP00000265969 	KCNC1
ENSG00000110315	ENSP00000265981 	RNF141
ENSG00000100225	ENSP00000266087 	FBXO7
ENSG00000138942	ENSP00000266252 	RNF185
ENSG00000100105	ENSP00000266269 	PATZ1
ENSG00000139218	ENSP00000266589 	SCAF11
ENSG00000135679	ENSP00000266624 	MDM2
ENSG00000139266	ENSP00000266643 	MARCH9
ENSG00000072609	ENSP00000266880 	CHFR
ENSG00000139797	ENSP00000267291 	RNF113B
ENSG00000140367	ENSP00000267938 	UBE2Q2
ENSG00000140455	ENSP00000268049 	USP3
ENSG00000140464	ENSP00000268058 	PML
ENSG00000140464	ENSP00000268059 	PML
ENSG00000092871	ENSP00000268850 	RFFL
ENSG00000141542	ENSP00000269347 	RAB40B
ENSG00000141569	ENSP00000269383 	TRIM65
ENSG00000141576	ENSP00000269391 	RNF157
ENSG00000141622	ENSP00000269439 	RNF165
ENSG00000141665	ENSP00000269500 	FBXO15
ENSG00000142273	ENSP00000270279 	CBLC
ENSG00000144015	ENSP00000272395 	TRIM43
ENSG00000144357	ENSP00000272793 	UBR3
ENSG00000213160	ENSP00000272797 	KLHL23
