ensg	ensp	name
ENSMUSG00000000202	ENSMUSP00000000206 	Btbd17
ENSMUSG00000000275	ENSMUSP00000000284 	Trim25
ENSMUSG00000000317	ENSMUSP00000000326 	Bcl6b
ENSMUSG00000000439	ENSMUSP00000000449 	Mkrn2
ENSMUSG00000000804	ENSMUSP00000000821 	Usp32
ENSMUSG00000001054	ENSMUSP00000001081 	Rmnd5b
ENSMUSG00000001098	ENSMUSP00000001125 	Kctd10
ENSMUSG00000001157	ENSMUSP00000001185 	Gmcl1
ENSMUSG00000029130	ENSMUSP00000001247 	Rnf32
ENSMUSG00000001228	ENSMUSP00000001258 	Uhrf1
ENSMUSG00000001366	ENSMUSP00000001402 	Fbxo9
ENSMUSG00000001403	ENSMUSP00000001439 	Ube2c
ENSMUSG00000001558	ENSMUSP00000001599 	Klhl10
ENSMUSG00000001910	ENSMUSP00000001975 	Nacc1
ENSMUSG00000001924	ENSMUSP00000001989 	Uba1
ENSMUSG00000022111	ENSMUSP00000002289 	Uchl3
ENSMUSG00000002222	ENSMUSP00000002292 	Rmnd5a
ENSMUSG00000002428	ENSMUSP00000002502 	Hltf
ENSMUSG00000002803	ENSMUSP00000002880 	Btbd6
ENSMUSG00000003344	ENSMUSP00000003434 	Btbd2
ENSMUSG00000003421	ENSMUSP00000003513 	Nosip
ENSMUSG00000003581	ENSMUSP00000003677 	Rnf215
ENSMUSG00000089832	ENSMUSP00000003857 	Shkbp1
ENSMUSG00000004018	ENSMUSP00000004120 	Fancl
ENSMUSG00000027164	ENSMUSP00000004949 	Traf6
ENSMUSG00000004934	ENSMUSP00000005064 	Pias4
ENSMUSG00000004947	ENSMUSP00000005072 	Dtx2
ENSMUSG00000005045	ENSMUSP00000005175 	Chd5
ENSMUSG00000005371	ENSMUSP00000005504 	Fbxo11
ENSMUSG00000005566	ENSMUSP00000005705 	Trim28
ENSMUSG00000005575	ENSMUSP00000005714 	Ube2m
ENSMUSG00000005682	ENSMUSP00000005825 	Pan2
ENSMUSG00000006215	ENSMUSP00000006377 	Zbtb17
ENSMUSG00000006676	ENSMUSP00000006854 	Usp19
ENSMUSG00000007817	ENSMUSP00000007961 	Zmiz1
ENSMUSG00000008482	ENSMUSP00000008626 	Rnf151
ENSMUSG00000009293	ENSMUSP00000009437 	Ube2g2
ENSMUSG00000027895	ENSMUSP00000009617 	Kcnc4
ENSMUSG00000009731	ENSMUSP00000009875 	Kcnd1
ENSMUSG00000021510	ENSMUSP00000012314 	A530054K11Rik
ENSMUSG00000041164	ENSMUSP00000012612 	Zmiz2
ENSMUSG00000064145	ENSMUSP00000013338 	Arih2
ENSMUSG00000062077	ENSMUSP00000013771 	Trim54
ENSMUSG00000032000	ENSMUSP00000013949 	Birc3
ENSMUSG00000013878	ENSMUSP00000014022 	Rnf170
ENSMUSG00000014074	ENSMUSP00000014218 	Rnf168
ENSMUSG00000014402	ENSMUSP00000014546 	Tsg101
ENSMUSG00000014470	ENSMUSP00000014614 	Rnf166
ENSMUSG00000014668	ENSMUSP00000014812 	Chfr
ENSMUSG00000015095	ENSMUSP00000015239 	Fbxw5
ENSMUSG00000015127	ENSMUSP00000015271 	Unkl
ENSMUSG00000015478	ENSMUSP00000015622 	Rnf5
ENSMUSG00000016239	ENSMUSP00000016383 	Lonrf3
ENSMUSG00000016308	ENSMUSP00000016452 	Ube2a
ENSMUSG00000016520	ENSMUSP00000016664 	Lnx2
ENSMUSG00000031446	ENSMUSP00000016680 	Cul4a
ENSMUSG00000031095	ENSMUSP00000016681 	Cul4b
ENSMUSG00000016946	ENSMUSP00000017090 	Kctd5
ENSMUSG00000017146	ENSMUSP00000017290 	Brca1
ENSMUSG00000017386	ENSMUSP00000017530 	Traf4
ENSMUSG00000017615	ENSMUSP00000017759 	Tnfaip1
ENSMUSG00000017677	ENSMUSP00000017821 	Wsb1
ENSMUSG00000020707	ENSMUSP00000017833 	Rnf135
ENSMUSG00000020707	ENSMUSP00000017839 	Rnf135
ENSMUSG00000018189	ENSMUSP00000018333 	Uchl5
ENSMUSG00000020850	ENSMUSP00000018449 	Prpf8
ENSMUSG00000018537	ENSMUSP00000018681 	Pcgf2
ENSMUSG00000018733	ENSMUSP00000018877 	Pex12
ENSMUSG00000019189	ENSMUSP00000019333 	Rnf145
ENSMUSG00000047098	ENSMUSP00000019443 	Rnf31
ENSMUSG00000019494	ENSMUSP00000019638 	Cops6
ENSMUSG00000019773	ENSMUSP00000019907 	Fbxo5
ENSMUSG00000019927	ENSMUSP00000020085 	Ube2d1
ENSMUSG00000019944	ENSMUSP00000020101 	Rhobtb1
ENSMUSG00000020027	ENSMUSP00000020215 	Socs2
ENSMUSG00000020064	ENSMUSP00000020258 	Herc4
ENSMUSG00000020124	ENSMUSP00000020334 	Usp15
ENSMUSG00000020184	ENSMUSP00000020408 	Mdm2
ENSMUSG00000020307	ENSMUSP00000020550 	Cdc34
ENSMUSG00000020305	ENSMUSP00000020551 	Asb3
ENSMUSG00000020390	ENSMUSP00000020657 	Ube2b
ENSMUSG00000020521	ENSMUSP00000020827 	Rnft1
ENSMUSG00000020627	ENSMUSP00000020958 	Klhl29
ENSMUSG00000020642	ENSMUSP00000020971 	Rnf144a
ENSMUSG00000020696	ENSMUSP00000021036 	Rffl
ENSMUSG00000020773	ENSMUSP00000021120 	Trim47
ENSMUSG00000020794	ENSMUSP00000021148 	Ube2g1
ENSMUSG00000020870	ENSMUSP00000021240 	Cdc34-ps
ENSMUSG00000020905	ENSMUSP00000021288 	Usp43
ENSMUSG00000020948	ENSMUSP00000021331 	Klhl28
ENSMUSG00000021103	ENSMUSP00000021523 	Mnat1
ENSMUSG00000021156	ENSMUSP00000021584 	Zmynd11
