ensg	enst	ensp	name
ENSMUSG00000036144	ENSMUST00000041183	ENSMUSP00000043587	Meox2
ENSMUSG00000025469	ENSMUST00000055353	ENSMUSP00000057312	Msx3
ENSMUSG00000052837	ENSMUST00000209372		Junb
ENSMUSG00000040187	ENSMUST00000123444		Arntl2
ENSMUSG00000034957	ENSMUST00000205391	ENSMUSP00000145942	Cebpa
ENSMUSG00000026663	ENSMUST00000027974	ENSMUSP00000027974	Atf6
ENSMUSG00000023333	ENSMUST00000024104	ENSMUSP00000024104	Gcm1
ENSMUSG00000055817	ENSMUST00000112350	ENSMUSP00000107969	Mta3
ENSMUSG00000025498	ENSMUST00000106023	ENSMUSP00000101644	Irf7
ENSMUSG00000068134	ENSMUST00000122859	ENSMUSP00000114205	Zfp120
ENSMUSG00000018899	ENSMUST00000108920	ENSMUSP00000104548	Irf1
ENSMUSG00000079009	ENSMUST00000109926	ENSMUSP00000105552	Gm14139
ENSMUSG00000060336	ENSMUST00000073782	ENSMUSP00000073454	Zfp937
ENSMUSG00000079008	ENSMUST00000109922	ENSMUSP00000105548	Gm14124
ENSMUSG00000068130	ENSMUST00000109916	ENSMUSP00000105542	Zfp442
ENSMUSG00000046962	ENSMUST00000232010		Zbtb21
ENSMUSG00000017801	ENSMUST00000107302	ENSMUSP00000102923	Mlx
ENSMUSG00000025332	ENSMUST00000112584	ENSMUSP00000108203	Kdm5c
ENSMUSG00000043467	ENSMUST00000162226	ENSMUSP00000125253	Zbtb37
ENSMUSG00000019826	ENSMUST00000080771	ENSMUSP00000079592	Zbtb24
ENSMUSG00000039830	ENSMUST00000035608	ENSMUSP00000036797	Olig2
ENSMUSG00000046160	ENSMUST00000056882	ENSMUSP00000061408	Olig1
ENSMUSG00000074731	ENSMUST00000109914	ENSMUSP00000105540	Zfp345
ENSMUSG00000000435	ENSMUST00000000445	ENSMUSP00000000445	Myf5
ENSMUSG00000070345	ENSMUST00000093956	ENSMUSP00000091488	Hsf5
ENSMUSG00000023994	ENSMUST00000078800	ENSMUSP00000077853	Nfya
ENSMUSG00000047141	ENSMUST00000207826	ENSMUSP00000146656	Zfp654
ENSMUSG00000058665	ENSMUST00000079721	ENSMUSP00000078659	En1
ENSMUSG00000035923	ENSMUST00000044210	ENSMUSP00000047529	Myf6
ENSMUSG00000044617	ENSMUST00000054287	ENSMUSP00000052717	Zbtb39
ENSMUSG00000035397	ENSMUST00000038558	ENSMUSP00000048825	Klf16
ENSMUSG00000026459	ENSMUST00000027730	ENSMUSP00000027730	Myog
ENSMUSG00000004842	ENSMUST00000176330	ENSMUSP00000135113	Pou1f1
ENSMUSG00000024515	ENSMUST00000025393	ENSMUSP00000025393	Smad4
ENSMUSG00000024238	ENSMUST00000224200	ENSMUSP00000157056	Zeb1
ENSMUSG00000022838	ENSMUST00000075946	ENSMUSP00000075331	Eaf2
ENSMUSG00000051251	ENSMUST00000059794	ENSMUSP00000057489	Nhlh1
ENSMUSG00000068823	ENSMUST00000029446	ENSMUSP00000029446	Csde1
ENSMUSG00000033080	ENSMUST00000046095	ENSMUSP00000039088	Vsx1
ENSMUSG00000044452	ENSMUST00000061586	ENSMUSP00000058609	Zfp507
ENSMUSG00000033943	ENSMUST00000046717	ENSMUSP00000043795	Mga
ENSMUSG00000015709	ENSMUST00000085077	ENSMUSP00000082154	Arnt2
ENSMUSG00000035529	ENSMUST00000220032	ENSMUSP00000151931	Prdm4
ENSMUSG00000037017	ENSMUST00000062350	ENSMUSP00000053430	Zscan21
ENSMUSG00000051817	ENSMUST00000182625	ENSMUSP00000138293	Sox12
ENSMUSG00000030322	ENSMUST00000032469	ENSMUSP00000032469	Mbd4
ENSMUSG00000021217	ENSMUST00000021641	ENSMUSP00000021641	Tshz3
ENSMUSG00000056824	ENSMUST00000103085	ENSMUSP00000099374	Zfp663
ENSMUSG00000017667	ENSMUST00000103084	ENSMUSP00000099373	Zfp334
ENSMUSG00000038630	ENSMUST00000107554	ENSMUSP00000103178	Zkscan16
ENSMUSG00000058756	ENSMUST00000142944		Thra
ENSMUSG00000020889	ENSMUST00000064941	ENSMUSP00000069505	Nr1d1
ENSMUSG00000022529	ENSMUST00000023176	ENSMUSP00000023176	Zfp263
ENSMUSG00000033726	ENSMUST00000045942	ENSMUSP00000046026	Emx1
ENSMUSG00000040033	ENSMUST00000218863		Stat2
ENSMUSG00000037007	ENSMUST00000049393	ENSMUSP00000041796	Zfp113
ENSMUSG00000025229	ENSMUST00000026259	ENSMUSP00000026259	Pitx3
ENSMUSG00000031688	ENSMUST00000034115	ENSMUSP00000034115	Pou4f2
ENSMUSG00000039377	ENSMUST00000048572	ENSMUSP00000040505	Hlx
ENSMUSG00000027230	ENSMUST00000028663	ENSMUSP00000028663	Creb3l1
ENSMUSG00000022641	ENSMUST00000138166	ENSMUSP00000119238	Bbx
ENSMUSG00000043456	ENSMUST00000206763	ENSMUSP00000159087	Zfp536
ENSMUSG00000022708	ENSMUST00000126354		Zbtb20
ENSMUSG00000068302	ENSMUST00000089578	ENSMUSP00000087006	Noto
ENSMUSG00000055835	ENSMUST00000212072	ENSMUSP00000148511	Zfp1
ENSMUSG00000024561	ENSMUST00000224907		Mbd1
ENSMUSG00000005836	ENSMUST00000234512	ENSMUSP00000157117	Gata6
ENSMUSG00000030757	ENSMUST00000042470	ENSMUSP00000041821	Zkscan2
ENSMUSG00000025215	ENSMUST00000026236	ENSMUSP00000026236	Tlx1
ENSMUSG00000025216	ENSMUST00000099401	ENSMUSP00000096997	Lbx1
ENSMUSG00000042745	ENSMUST00000038368	ENSMUSP00000092019	Id1
ENSMUSG00000038805	ENSMUST00000175898	ENSMUSP00000135677	Six3
ENSMUSG00000062175	ENSMUST00000081335	ENSMUSP00000096745	Tgif2
ENSMUSG00000037992	ENSMUST00000107474	ENSMUSP00000103098	Rara
ENSMUSG00000039789	ENSMUST00000175990		Zfp597
ENSMUSG00000054939	ENSMUST00000041778	ENSMUSP00000045805	Zfp174
ENSMUSG00000040054	ENSMUST00000218772		Baz2a
ENSMUSG00000072774	ENSMUST00000186219	ENSMUSP00000140625	Zfp951
ENSMUSG00000024134	ENSMUST00000163568	ENSMUSP00000125871	Six2
ENSMUSG00000018377	ENSMUST00000018521	ENSMUSP00000018521	Vezf1
ENSMUSG00000061969	ENSMUST00000072940		Gm5581
ENSMUSG00000020185	ENSMUST00000173294		E2f7
ENSMUSG00000021506	ENSMUST00000021968	ENSMUSP00000021968	Pitx1
ENSMUSG00000029196	ENSMUST00000031097	ENSMUSP00000031097	Tada2b
ENSMUSG00000042207	ENSMUST00000047714	ENSMUSP00000038138	Kdm5b
ENSMUSG00000053477	ENSMUST00000203002	ENSMUSP00000144315	Tcf4
ENSMUSG00000044538	ENSMUST00000177182		Obox3-ps8
ENSMUSG00000060630	ENSMUST00000080407	ENSMUSP00000079269	Zfp735
ENSMUSG00000071064	ENSMUST00000087927	ENSMUSP00000085238	Zfp827
ENSMUSG00000037935	ENSMUST00000103133	ENSMUSP00000099422	Smarce1
ENSMUSG00000025225	ENSMUST00000237330	ENSMUSP00000157809	Nfkb2
ENSMUSG00000070034	ENSMUST00000128339		Sp110
ENSMUSG00000074676	ENSMUST00000099200	ENSMUSP00000096806	Foxs1
ENSMUSG00000025323	ENSMUST00000026367	ENSMUSP00000026367	Sp4
ENSMUSG00000074622	ENSMUST00000099126	ENSMUSP00000096728	Mafb
ENSMUSG00000064043	ENSMUST00000188947		Trerf1
ENSMUSG00000021095	ENSMUST00000021513	ENSMUSP00000021513	Gsc
ENSMUSG00000048562	ENSMUST00000063918	ENSMUSP00000065746	Sp8
ENSMUSG00000070031	ENSMUST00000113385	ENSMUSP00000109012	Sp140
ENSMUSG00000026222	ENSMUST00000141998		Sp100
ENSMUSG00000023927	ENSMUST00000144331	ENSMUSP00000116006	Satb1
ENSMUSG00000030699	ENSMUST00000172352	ENSMUSP00000126418	Tbx6
ENSMUSG00000023027	ENSMUST00000023769	ENSMUSP00000023769	Atf1
ENSMUSG00000035877	ENSMUST00000133937		Zhx3
ENSMUSG00000020950	ENSMUST00000135006		Foxg1
ENSMUSG00000032292	ENSMUST00000130831		Nr2e3
ENSMUSG00000023034	ENSMUST00000228985	ENSMUSP00000155225	Nr4a1
ENSMUSG00000071665	ENSMUST00000096265	ENSMUSP00000093984	Foxr2
ENSMUSG00000059552	ENSMUST00000005371	ENSMUSP00000005371	Trp53
ENSMUSG00000020137	ENSMUST00000218842	ENSMUSP00000151353	Thap2
ENSMUSG00000058886	ENSMUST00000080553	ENSMUSP00000079395	Deaf1
ENSMUSG00000042821	ENSMUST00000052631	ENSMUSP00000050581	Snai1
ENSMUSG00000026586	ENSMUST00000075805	ENSMUSP00000075203	Prrx1
ENSMUSG00000024298	ENSMUST00000159086	ENSMUSP00000127178	Zfp871
