ensg	name	loc	tss_loc	strand	CD
ENSG00000168003	SLC3A2	chr11:62623518-62656352	chr11:62623518-62623518	1	CD98
ENSG00000243772	KIR2DL3	chr19:55249980-55295776	chr19:55249980-55249980	1	CD158B2
ENSG00000185499	MUC1	chr1:155158300-155162707	chr1:155162707-155162707	-1	CD227
ENSG00000138792	ENPEP	chr4:111286889-111486441	chr4:111286889-111286889	1	CD249
ENSG00000160867	FGFR4	chr5:176513887-176525145	chr5:176513887-176513887	1	CD334
ENSG00000126353	CCR7	chr17:38710021-38721724	chr17:38721724-38721724	-1	CD197
ENSG00000127507	EMR2	chr19:14843205-14889353	chr19:14889353-14889353	-1	CD312
ENSG00000124334	IL9R	chrX:155227246-155240482	chrX:155227246-155227246	1	CD129
ENSG00000130202	PVRL2	chr19:45349432-45392485	chr19:45349432-45349432	1	CD112
ENSG00000186265	BTLA	chr3:112182815-112218408	chr3:112218408-112218408	-1	CD272
ENSG00000240258	LILRP2	chr19:55220386-55224734	chr19:55220386-55220386	1	CD85M
ENSG00000168685	IL7R	chr5:35852797-35879705	chr5:35852797-35852797	1	CD127
ENSG00000198851	CD3E	chr11:118175260-118186890	chr11:118175260-118175260	1	CD3e
ENSG00000068078	FGFR3	chr4:1795034-1810599	chr4:1795034-1795034	1	CD333
ENSG00000085117	CD82	chr11:44585977-44641913	chr11:44585977-44585977	1	CD82
ENSG00000123384	LRP1	chr12:57522276-57607134	chr12:57522276-57522276	1	CD91
ENSG00000101384	JAG1	chr20:10618332-10654694	chr20:10654694-10654694	-1	CD339
ENSG00000100385	IL2RB	chr22:37521878-37571094	chr22:37571094-37571094	-1	CD122
ENSG00000203710	CR1	chr1:207669492-207813992	chr1:207669492-207669492	1	CD35
ENSG00000054219	LY75	chr2:160628362-160761260	chr2:160761260-160761260	-1	CD205
ENSG00000239998	LILRA2	chr19:55084387-55099027	chr19:55084387-55084387	1	CD85H
ENSG00000177707	PVRL3	chr3:110788918-110994410	chr3:110788918-110788918	1	CD113
ENSG00000106952	TNFSF8	chr9:117656003-117692697	chr9:117692697-117692697	-1	CD153
