ensg	name	enst	loc	tss_loc	strand	type	gc
ENSG00000130385	BMP15	ENST00000252677	chrX:50910784-50916607	chrX:50910784-50910784	1	protein_coding	49.703138252756574
ENSG00000125378	BMP4	ENST00000245451	chr14:53949736-53956811	chr14:53956811-53956811	-1	protein_coding	53.990610328638496
ENSG00000163217	BMP10	ENST00000295379	chr2:68865481-68871517	chr2:68871517-68871517	-1	protein_coding	47.85353535353536
ENSG00000168487	BMP1	ENST00000306385	chr8:22164736-22212326	chr8:22164736-22164736	1	protein_coding	62.68621423504375
ENSG00000152785	BMP3	ENST00000282701	chr4:81030965-81057531	chr4:81030965-81030965	1	protein_coding	39.22218346703872
ENSG00000153162	BMP6	ENST00000283147	chr6:7726797-7881422	chr6:7726797-7726797	1	protein_coding	54.7841726618705
ENSG00000183682	BMP8A	ENST00000331593	chr1:39491646-39525935	chr1:39491646-39491646	1	protein_coding	68.5579196217494
ENSG00000138756	BMP2K	ENST00000335016	chr4:78776378-78912185	chr4:78776378-78776378	1	protein_coding	47.0820189274448
ENSG00000116985	BMP8B	ENST00000372827	chr1:39757182-39788861	chr1:39788861-39788861	-1	protein_coding	56.05557859809208
ENSG00000112175	BMP5	ENST00000370830	chr6:55753645-55875564	chr6:55875564-55875564	-1	protein_coding	36.1336032388664
ENSG00000125845	BMP2	ENST00000378827	chr20:6767664-6780280	chr20:6767664-6767664	1	protein_coding	52.0966398222716
ENSG00000101144	BMP7	ENST00000395864	chr20:57170531-57266342	chr20:57266342-57266342	-1	protein_coding	61.91294387170676
