ensg	enst	name
ENSMUSG00000000817		Fasl
ENSMUSG00000005824		Tnfsf14
ENSMUSG00000089669		Tnfsf13
ENSMUSG00000019489		Cd70
ENSMUSG00000026700		Tnfsf4
ENSMUSG00000022015		Tnfsf11
ENSMUSG00000024402		Lta
ENSMUSG00000024399		Ltb
ENSMUSG00000024401		Tnf
ENSMUSG00000028362		Tnfsf8
ENSMUSG00000031132		Cd40lg
ENSMUSG00000031497		Tnfsf13b
ENSMUSG00000035678		Tnfsf9
ENSMUSG00000039304		Tnfsf10
ENSMUSG00000050395		Tnfsf15
ENSMUSG00000066755		Tnfsf18
ENSMUSG00000018752		Tnfsfm13
ENSMUSG00000097328		Tnfsf12
