Gene Symbol	Annotation ID	Synonyms	Gene Description	Species	RNA-binding Domains	Number of experiments	Homologs
A1CF	ENSG00000148584	ACF; ASP; ACF64; ACF65; APOBEC1CF	APOBEC1 complementation factor [Source:HGNC Symbol;Acc:24086]	Homo sapiens	RRMx3	1	1
A2BP1	ENSG00000078328		Fox-1 homolog A (Ataxin-2-binding protein 1)(Hexaribonucleotide-binding protein 1) [Source:UniProtKB/Swiss-Prot;Acc:Q9NWB1]	Homo sapiens	RRMx1	1	4
ACIN1	ENSG00000100813	KIAA0670; fSAP152	apoptotic chromatin condensation inducer 1 [Source:HGNC Symbol;Acc:17066]	Homo sapiens	RRMx1	0	2
ACO1	ENSG00000122729	IRP1; ACONS; IREB1; IREBP; IREBP1; ACO1	"aconitase 1, soluble [Source:HGNC Symbol;Acc:117]"	Homo sapiens		25	3
AKAP1	ENSG00000121057	AKAP121; AKAP149; SAKAP84; S-AKAP84; AKAP84	A kinase (PRKA) anchor protein 1 [Source:HGNC Symbol;Acc:367]	Homo sapiens	KHx1	2	3
ALKBH8	ENSG00000137760	MGC10235	"alkB, alkylation repair homolog 8 (E. coli) [Source:HGNC Symbol;Acc:25189]"	Homo sapiens	RRMx1	0	1
ANKHD1	ENSG00000131503	MASK; FLJ20288; FLJ11979; FLJ10042; FLJ14127; KIAA1085	ankyrin repeat and KH domain containing 1 [Source:HGNC Symbol;Acc:24714]	Homo sapiens	KHx1	0	0
ANKRD17	ENSG00000132466	GTAR; KIAA0697; FLJ22206; NY-BR-16	ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:23575]	Homo sapiens	KHx1	0	5
APTX	ENSG00000137074		aprataxin [Source:HGNC Symbol;Acc:15984]	Homo sapiens		0	1
ASCC1	ENSG00000138303	CGI-18; ASC1p50; Em:AC022392.3	activating signal cointegrator 1 complex subunit 1 [Source:HGNC Symbol;Acc:24268]	Homo sapiens	KHx1	0	3
BICC1	ENSG00000122870		bicaudal C homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:19351]	Homo sapiens	KHx3; SAMx1	0	3
BOLL	ENSG00000152430	BOULE	"bol, boule-like (Drosophila) [Source:HGNC Symbol;Acc:14273]"	Homo sapiens	RRMx1	0	2
BRUNOL4	ENSG00000101489		"bruno-like 4, RNA binding protein (Drosophila) [Source:HGNC Symbol;Acc:14015]"	Homo sapiens	RRMx3	0	9
BRUNOL5	ENSG00000161082		"bruno-like 5, RNA binding protein (Drosophila) [Source:HGNC Symbol;Acc:14058]"	Homo sapiens	RRMx3	0	9
BRUNOL6	ENSG00000140488		"bruno-like 6, RNA binding protein (Drosophila) [Source:HGNC Symbol;Acc:14059]"	Homo sapiens	RRMx3	0	9
C14orf156	ENSG00000119705	DC50	"SRA stem-loop-interacting RNA-binding protein, mitochondrial Precursor [Source:UniProtKB/Swiss-Prot;Acc:Q9GZT3]"	Homo sapiens	RRMx1	0	4
C14orf21	ENSG00000196943		Pumilio domain-containing protein C14orf21 [Source:UniProtKB/Swiss-Prot;Acc:Q86U38]	Homo sapiens	Pumx7	0	3
C1orf25	ENSG00000121486		TRM1-like protein [Source:UniProtKB/Swiss-Prot;Acc:Q7Z2T5]	Homo sapiens	Znf_C2H2x1	0	1
C4orf23	ENSG00000155275	FLJ35725	Probable tRNA (uracil-O(2)-)-methyltransferase (EC 2.1.1.n2) [Source:UniProtKB/Swiss-Prot;Acc:Q8IYL2]	Homo sapiens		0	1
CARHSP1	ENSG00000153048	CRHSP-24; CSDC1	"calcium regulated heat stable protein 1, 24kDa [Source:HGNC Symbol;Acc:17150]"	Homo sapiens	CSDx1	0	3
CCAR1	ENSG00000060339	FLJ10590; CARP-1; CARP1	cell division cycle and apoptosis regulator 1 [Source:HGNC Symbol;Acc:24236]	Homo sapiens	CSDx1	0	1
CHERP	ENSG00000085872	ERPROT213-21; DAN16	calcium homeostasis endoplasmic reticulum protein [Source:HGNC Symbol;Acc:16930]	Homo sapiens	SURPx1	0	2
CIRBP	ENSG00000099622	CIRP	cold inducible RNA binding protein [Source:HGNC Symbol;Acc:1982]	Homo sapiens	RRMx1	1	1
CNOT4	ENSG00000080802	CLONE243; NOT4H	"CCR4-NOT transcription complex, subunit 4 [Source:HGNC Symbol;Acc:7880]"	Homo sapiens	RRMx1; Znf_RINGx1	0	3
CPEB1	ENSG00000214575	FLJ13203; CPEB	cytoplasmic polyadenylation element binding protein 1 [Source:HGNC Symbol;Acc:21744]	Homo sapiens	RRMx2	2	3
CPEB2	ENSG00000137449		cytoplasmic polyadenylation element binding protein 2 [Source:HGNC Symbol;Acc:21745]	Homo sapiens	RRMx2	0	7
CPEB3	ENSG00000107864	KIAA0940	cytoplasmic polyadenylation element binding protein 3 [Source:HGNC Symbol;Acc:21746]	Homo sapiens	RRMx2	0	7
CPEB4	ENSG00000113742	KIAA1673	cytoplasmic polyadenylation element binding protein 4 [Source:HGNC Symbol;Acc:21747]	Homo sapiens	RRMx2	1	7
CPSF4	ENSG00000160917	NAR; CPSF30	"cleavage and polyadenylation specific factor 4, 30kDa [Source:HGNC Symbol;Acc:2327]"	Homo sapiens	Znf_CCCHx6; Znf_CCHCx1	0	3
CPSF4L	ENSG00000187959		cleavage and polyadenylation specific factor 4-like [Source:HGNC Symbol;Acc:33632]	Homo sapiens	Znf_CCCHx5	0	1
CPSF6	ENSG00000111605	CFIM; HPBRII-4; HPBRII-7; CFIM68	microRNA 1279 [Source:HGNC Symbol;Acc:35357]	Homo sapiens	RRMx1	0	0
CPSF7	ENSG00000149532	FLJ12529	"cleavage and polyadenylation specific factor 7, 59kDa [Source:HGNC Symbol;Acc:30098]"	Homo sapiens	RRMx1	0	1
CSDA	ENSG00000060138	dbpA; ZONAB; CSDA1	cold shock domain protein A pseudogene 1 [Source:HGNC Symbol;Acc:2429]	Homo sapiens	CSDx1	2	0
CSDC2	ENSG00000172346	PIPPin	"cold shock domain containing C2, RNA binding [Source:HGNC Symbol;Acc:30359]"	Homo sapiens	CSDx1	0	3
CSDE1	ENSG00000009307	D1S155E; UNR	"cold shock domain containing E1, RNA-binding [Source:HGNC Symbol;Acc:29905]"	Homo sapiens	CSDx5	3	2
CSTF2	ENSG00000101811		"cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa [Source:HGNC Symbol;Acc:2484]"	Homo sapiens	RRMx1	8	5
CSTF2T	ENSG00000177613	DKFZp434C1013; KIAA0689; CstF-64T	"cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa, tau variant [Source:HGNC Symbol;Acc:17086]"	Homo sapiens	RRMx1	2	5
CUGBP1	ENSG00000149187		"CUG triplet repeat, RNA binding protein 1 [Source:HGNC Symbol;Acc:2549]"	Homo sapiens	RRMx3	5	5
CUGBP2	ENSG00000048740		"CUG triplet repeat, RNA binding protein 2 [Source:HGNC Symbol;Acc:2550]"	Homo sapiens	RRMx3	3	5
DAZ1	ENSG00000188120	SPGY	deleted in azoospermia 1 [Source:HGNC Symbol;Acc:2682]	Homo sapiens	RRMx3	0	0
DAZ2	ENSG00000205944	pDP1678; MGC126442	deleted in azoospermia 2 [Source:HGNC Symbol;Acc:15964]	Homo sapiens	RRMx1	0	0
DAZ3	ENSG00000187191		deleted in azoospermia 3 [Source:HGNC Symbol;Acc:15965]	Homo sapiens	RRMx1	0	0
DAZ4	ENSG00000205916		deleted in azoospermia 4 [Source:HGNC Symbol;Acc:15966]	Homo sapiens	RRMx1	0	0
DAZAP1	ENSG00000071626	MGC19907	DAZ associated protein 1 [Source:HGNC Symbol;Acc:2683]	Homo sapiens	RRMx2	2	2
DAZL	ENSG00000092345	DAZH; SPGYLA; MGC26406; DAZL1	deleted in azoospermia-like [Source:HGNC Symbol;Acc:2685]	Homo sapiens	RRMx1	0	1
DDX43	ENSG00000080007	HAGE; DKFZp434H2114; CT13	DEAD (Asp-Glu-Ala-Asp) box polypeptide 43 [Source:HGNC Symbol;Acc:18677]	Homo sapiens	KHx1	0	4
DDX53	ENSG00000184735	CAGE; CT26	DEAD (Asp-Glu-Ala-Asp) box polypeptide 53 [Source:HGNC Symbol;Acc:20083]	Homo sapiens	KHx1	0	3
DGKQ	ENSG00000145214	DAGK; DAGK7	"diacylglycerol kinase, theta 110kDa [Source:HGNC Symbol;Acc:2856]"	Homo sapiens	RRMx1	0	2
DHX57	ENSG00000163214	DDX57	DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57 [Source:HGNC Symbol;Acc:20086]	Homo sapiens	Znf_CCCHx1	0	2
DHX8	ENSG00000067596	HRH1; PRP22; PRPF22	DEAH (Asp-Glu-Ala-His) box polypeptide 8 [Source:HGNC Symbol;Acc:2749]	Homo sapiens	S1x1	0	3
DKC1	ENSG00000130826	XAP101; dyskerin; NAP57; NOLA4	"small nucleolar RNA, H/ACA box 56 [Source:HGNC Symbol;Acc:32650]"	Homo sapiens	PUAx1	0	0
DNAJC17	ENSG00000104129	FLJ10634	"DnaJ (Hsp40) homolog, subfamily C, member 17 [Source:HGNC Symbol;Acc:25556]"	Homo sapiens	RRMx1	0	1
DND1	ENSG00000183403	MGC34750; RBMS4	dead end homolog 1 (zebrafish) [Source:HGNC Symbol;Acc:23799]	Homo sapiens	RRMx2	0	1
DPPA5	ENSG00000203909	Esg1	developmental pluripotency associated 5 [Source:HGNC Symbol;Acc:19201]	Homo sapiens	KHx1	1	3
