ensg	name	CD	enst	loc	tss_loc	strand	type	gc
ENSMUSG00000000120	Ngfr	CD271	ENSMUST00000000122	chr11:95568818-95587735	chr11:95587735-95587735	-1	protein_coding	58.5896691816599
ENSMUSG00000000290	Itgb2	CD18	ENSMUST00000000299	chr10:77530252-77565686	chr10:77530252-77530252	1	protein_coding	53.13131313131313
ENSMUSG00000029231	Pdgfra	CD140a	ENSMUST00000000476	chr5:75152306-75198215	chr5:75152306-75152306	1	protein_coding	47.10642846236067
ENSMUSG00000000303	Cdh1	CD324	ENSMUST00000000312	chr8:106603351-106670246	chr8:106603351-106603351	1	protein_coding	50.699774266365694
ENSMUSG00000000318	Clec10a	CD301	ENSMUST00000000327	chr11:70166667-70170833	chr11:70166667-70166667	1	protein_coding	52.06327372764786
ENSMUSG00000000791	Il12rb1	CD212	ENSMUST00000000808	chr8:70808449-70821424	chr8:70808449-70808449	1	protein_coding	58.440654368256176
ENSMUSG00000001029	Icam2	CD102	ENSMUST00000001055	chr11:106377656-106382781	chr11:106382781-106382781	-1	protein_coding	53.90015600624025
ENSMUSG00000000682	Cd52	CD52	ENSMUST00000000696	chr4:134093536-134095082	chr4:134095082-134095082	-1	protein_coding	50.97276264591439
ENSMUSG00000001014	Icam4	CD242	ENSMUST00000001040	chr9:21029373-21030595	chr9:21029373-21029373	1	protein_coding	57.569515962924825
ENSMUSG00000001507	Itga3	CD49c	ENSMUST00000001548	chr11:95044474-95076714	chr11:95076714-95076714	-1	protein_coding	57.88932318452993
ENSMUSG00000002033	Cd3g	CD3g	ENSMUST00000002101	chr9:44969572-44980431	chr9:44980431-44980431	-1	protein_coding	47.116324535679375
ENSMUSG00000046223	Plaur	CD87	ENSMUST00000002284	chr7:24462484-24475967	chr7:24462484-24462484	1	protein_coding	54.24966799468791
ENSMUSG00000002308	Cd320	CD320	ENSMUST00000002379	chr17:33843091-33849774	chr17:33843091-33843091	1	protein_coding	51.425984608420094
ENSMUSG00000020681	Ace	CD143	ENSMUST00000001964	chr11:105975208-105989253	chr11:105975208-105975208	1	protein_coding	54.4251447477254
ENSMUSG00000003534	Ddr1	CD167a	ENSMUST00000003628	chr17:35681570-35704139	chr17:35704139-35704139	-1	protein_coding	59.88953182535508
ENSMUSG00000003379	Cd79a	CD79a	ENSMUST00000003469	chr7:24897381-24902197	chr7:24897381-24897381	1	protein_coding	54.90734385724091
ENSMUSG00000026814	Eng	CD105	ENSMUST00000009705	chr2:32646595-32682658	chr2:32646595-32646595	1	protein_coding	57.393337229690246
ENSMUSG00000006574	Slc4a1	CD233	ENSMUST00000006749	chr11:102348824-102365280	chr11:102365280-102365280	-1	protein_coding	55.093509350935086
ENSMUSG00000062524	Ncr1	CD335	ENSMUST00000006792	chr7:4337724-4345164	chr7:4337724-4337724	1	protein_coding	44.42925495557075
ENSMUSG00000006389	Mpl	CD110	ENSMUST00000006556	chr4:118443272-118457495	chr4:118457495-118457495	-1	protein_coding	58.80940950552088
