ensg	ensp	name	enst
ENSG00000261694	ENSP00000456860	ADCK5	ENST00000564001
ENSG00000213923	ENSP00000352929	CSNK1E	ENST00000359867
ENSG00000198796	ENSP00000354991	ALPK2	ENST00000361673
ENSG00000101306	ENSP00000365162	MYLK2	ENST00000375994
ENSG00000142149	ENSP00000270112	HUNK	ENST00000270112
ENSG00000184343	ENSP00000420058	SRPK3	ENST00000489426
ENSG00000185189		NRBP2	ENST00000533093
ENSG00000111837	ENSP00000313021	MAK	ENST00000313243
ENSG00000261023	ENSP00000454231	TRRAP	ENST00000566399
ENSG00000136021	ENSP00000448366	SCYL2	ENST00000549687
ENSG00000008086	ENSP00000369332	CDKL5	ENST00000379996
ENSG00000135409	ENSP00000257863	AMHR2	ENST00000257863
ENSG00000188906	ENSP00000398726	LRRK2	ENST00000416796
ENSG00000229767	ENSP00000389085	DDR1	ENST00000433393
ENSG00000157764	ENSP00000419060	BRAF	ENST00000496384
ENSG00000182541		LIMK2	ENST00000462625
ENSG00000182580	ENSP00000332118	EPHB3	ENST00000330394
ENSG00000101336	ENSP00000365022	HCK	ENST00000375862
ENSG00000087095		NLK	ENST00000583517
ENSG00000178607	ENSP00000401445	ERN1	ENST00000433197
ENSG00000174672	ENSP00000310697	BRSK2	ENST00000308219
ENSG00000137275		RIPK1	ENST00000479389
ENSG00000110422	ENSP00000431710	HIPK3	ENST00000525975
ENSG00000071575	ENSP00000155926	TRIB2	ENST00000155926
ENSG00000150457	ENSP00000372035	LATS2	ENST00000382592
ENSG00000160551	ENSP00000464562	TAOK1	ENST00000583121
ENSG00000145349	ENSP00000378032	CAMK2D	ENST00000394524
ENSG00000115216	ENSP00000233557	NRBP1	ENST00000233557
ENSG00000112739	ENSP00000433547	PRPF4B	ENST00000480058
ENSG00000127564		PKMYT1	ENST00000571102
ENSG00000080224	ENSP00000420598	EPHA6	ENST00000470610
ENSG00000138756	ENSP00000373662	BMP2K	ENST00000389010
ENSG00000260195	ENSP00000457802	EPHB6	ENST00000565826
ENSG00000260463	ENSP00000457917	MAPK15	ENST00000565147
ENSG00000147044	ENSP00000400526	CASK	ENST00000421587
ENSG00000173334	ENSP00000312150	TRIB1	ENST00000311922
ENSG00000007047	ENSP00000465414	MARK4	ENST00000587566
ENSG00000115825	ENSP00000368356	PRKD3	ENST00000379066
ENSG00000030304	ENSP00000189978	MUSK	ENST00000189978
ENSG00000140992	ENSP00000344220	PDPK1	ENST00000342085
ENSG00000119408	ENSP00000362705	NEK6	ENST00000373603
ENSG00000172071	ENSP00000408325	EIF2AK3	ENST00000419748
ENSG00000171094	ENSP00000373700	ALK	ENST00000389048
ENSG00000105723	ENSP00000222330	GSK3A	ENST00000222330
ENSG00000058729	ENSP00000283109	RIOK2	ENST00000283109
ENSG00000107140	ENSP00000338127	TESK1	ENST00000336395
ENSG00000260489	ENSP00000454291	C9orf96	ENST00000570203
ENSG00000261893	ENSP00000459461	CLK2	ENST00000572269
ENSG00000086232	ENSP00000199389	EIF2AK1	ENST00000199389
ENSG00000146872	ENSP00000463595	TLK2	ENST00000582809
ENSG00000142875	ENSP00000359723	PRKACB	ENST00000370689
