ensg	name	enst	loc	tss_loc	strand	type	gc
ENSG00000006606	CCL26	ENST00000005180	chr7:75769533-75772257	chr7:75772257-75772257	-1	protein_coding	51.90114068441065
ENSG00000006210	CX3CL1	ENST00000006053	chr16:57372458-57385048	chr16:57372458-57372458	1	protein_coding	59.741041854863
ENSG00000106178	CCL24	ENST00000222902	chr7:75811665-75813806	chr7:75813806-75813806	-1	protein_coding	57.21649484536082
ENSG00000108691	CCL2	ENST00000225831	chr17:34255285-34257203	chr17:34255285-34255285	1	protein_coding	41.02564102564102
ENSG00000124875	CXCL6	ENST00000226317	chr4:73836497-73838760	chr4:73836497-73836497	1	protein_coding	41.26891734575087
ENSG00000108702	CCL1	ENST00000225842	chr17:34360328-34363231	chr17:34363231-34363231	-1	protein_coding	49.49324324324324
ENSG00000102970	CCL17	ENST00000219244	chr16:57404767-57416062	chr16:57404767-57404767	1	protein_coding	58.048780487804876
ENSG00000181374	CCL13	ENST00000225844	chr17:34356452-34358610	chr17:34356452-34356452	1	protein_coding	45.12338425381904
ENSG00000102962	CCL22	ENST00000219235	chr16:57358772-57366190	chr16:57358772-57358772	1	protein_coding	52.74837828610447
ENSG00000131142	CCL25	ENST00000253451	chr19:8052767-8062622	chr19:8052767-8052767	1	protein_coding	57.60755508919203
ENSG00000137077	CCL21	ENST00000259607	chr9:34709005-34710124	chr9:34710124-34710124	-1	protein_coding	58.098591549295776
ENSG00000138755	CXCL9	ENST00000264888	chr4:76001275-76007488	chr4:76007488-76007488	-1	protein_coding	40.07299270072993
ENSG00000213927	CCL27	ENST00000259631	chr9:34661896-34662692	chr9:34662692-34662692	-1	protein_coding	54.035874439461885
ENSG00000163735	CXCL5	ENST00000296027	chr4:73995642-73998779	chr4:73998779-73998779	-1	protein_coding	37.628053585500396
ENSG00000081041	CXCL2	ENST00000296031	chr4:74097676-74099195	chr4:74099195-74099195	-1	protein_coding	63.60485268630849
ENSG00000163737	PF4	ENST00000296029	chr4:73981077-73982124	chr4:73982124-73982124	-1	protein_coding	52.64900662251656
ENSG00000172156	CCL11	ENST00000305869	chr17:34285668-34288334	chr17:34285668-34285668	1	protein_coding	45.041705282669135
ENSG00000161921	CXCL16	ENST00000293778	chr17:4733526-4739819	chr17:4739819-4739819	-1	protein_coding	56.03060306030603
ENSG00000169248	CXCL11	ENST00000306621	chr4:76033682-76036197	chr4:76036197-76036197	-1	protein_coding	34.49564134495641
ENSG00000172724	CCL19	ENST00000311925	chr9:34689567-34691277	chr9:34691277-34691277	-1	protein_coding	57.64192139737992
ENSG00000163734	CXCL3	ENST00000296026	chr4:74036589-74038689	chr4:74038689-74038689	-1	protein_coding	44.74418604651163
ENSG00000169429	CXCL8	ENST00000307407	chr4:73740506-73743716	chr4:73740506-73740506	1	protein_coding	33.43108504398827
ENSG00000156234	CXCL13	ENST00000286758	chr4:77511753-77611834	chr4:77511753-77511753	1	protein_coding	38.15461346633416
ENSG00000169245	CXCL10	ENST00000306602	chr4:76021117-76023497	chr4:76023497-76023497	-1	protein_coding	37.5
ENSG00000189377	CXCL17	ENST00000341918	chr19:42428533-42442852	chr19:42442852-42442852	-1	protein_coding	47.32620320855615
ENSG00000145824	CXCL14	ENST00000337225	chr5:135570683-135579279	chr5:135579279-135579279	-1	protein_coding	51.44596651445966
ENSG00000107562	CXCL12	ENST00000343575	chr10:44377133-44385092	chr10:44385092-44385092	-1	protein_coding	47.980613893376415
ENSG00000115009	CCL20	ENST00000358813	chr2:227813854-227817534	chr2:227813854-227813854	1	protein_coding	36.25
ENSG00000151882	CCL28	ENST00000361115	chr5:43379193-43412391	chr5:43412391-43412391	-1	protein_coding	40.179142674344206
ENSG00000143184	XCL1	ENST00000367818	chr1:168576473-168582077	chr1:168576473-168576473	1	protein_coding	40.08778346744696
ENSG00000143185	XCL2	ENST00000367819	chr1:168540765-168543997	chr1:168543997-168543997	-1	protein_coding	45.663716814159294
ENSG00000108688	CCL7	ENST00000378569	chr17:34270221-34272242	chr17:34270221-34270221	1	protein_coding	40.24691358024691
ENSG00000108700	CCL8	ENST00000394620	chr17:34319036-34321402	chr17:34319036-34319036	1	protein_coding	42.34734337827121
ENSG00000163739	CXCL1	ENST00000395761	chr4:73869404-73871242	chr4:73869404-73869404	1	protein_coding	45.578851412944395
ENSG00000275152	CCL16	ENST00000610493	chr17:35976568-35981461	chr17:35981461-35981461	-1	protein_coding	47.24602203182375
ENSG00000271503	CCL5	ENST00000605140	chr17:35871491-35880793	chr17:35880793-35880793	-1	protein_coding	53.13504823151125
ENSG00000275688	CCL15-CCL14	ENST00000610751	chr17:35983656-36001551	chr17:36001551-36001551	-1	protein_coding	53.12180143295804
ENSG00000275302	CCL4	ENST00000613947	chr17:36103841-36105614	chr17:36103841-36103841	1	protein_coding	48.47801578354002
ENSG00000275385	CCL18	ENST00000616054	chr17:36064280-36072032	chr17:36064280-36064280	1	protein_coding	44.259818731117825
ENSG00000277632	CCL3	ENST00000614051	chr17:36088256-36090169	chr17:36090169-36090169	-1	protein_coding	50.0
ENSG00000275718	CCL15	ENST00000617897	chr17:35997582-36002038	chr17:36002038-36002038	-1	protein_coding	45.1071761416589
ENSG00000276409	CCL14	ENST00000620991	chr17:35983687-35986675	chr17:35986675-35986675	-1	protein_coding	55.39906103286385
ENSG00000274736	CCL23	ENST00000613876	chr17:36013057-36013781	chr17:36013781-36013781	-1	protein_coding	47.2636815920398
