name	ensg	label	id	class_id	combined_family	family_id	loc	tss_loc	strand
ZNF32	ENSG00000169740	ZNF32 (KOX30) [7]	2.3.3.41.1	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr10:44139307-44144304	chr10:44144304-44144304	-1
NFIA	ENSG00000162599	NF-1A	7.1.2.0.1	7.1	SMAD/NF-1 DNA-binding domain factors	7.1.2	chr1:61330931-61928465	chr1:61330931-61330931	1
SP8	ENSG00000164651	Sp8	2.3.1.1.8	2.3	C2H2 zinc finger factors>Three-zinc finger Krüppel-related factors	2.3.1	chr7:20823906-20826505	chr7:20826505-20826505	-1
NR4A3	ENSG00000119508	NOR1  (NR4A3)	2.1.4.0.3	2.1	Nuclear receptors with C4 zinc fingers>NGFI-B-related receptors (NR4)	2.1.4	chr9:102584137-102629173	chr9:102584137-102584137	1
ZNF778	ENSG00000170100	ZNF778 [1+18]	2.3.4.0.63	2.3	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3.4	chr16:89284118-89295363	chr16:89284118-89284118	1
ZNF521	ENSG00000198795	ZNF521 (EHZF, LIP3) [1+7+5+7+5+5]	2.3.4.12.2	2.3	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3.4	chr18:22641890-22932154	chr18:22932154-22932154	-1
SNAI1	ENSG00000124216	SNAI1 [4]	2.3.3.2.1	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr20:48599536-48605423	chr20:48599536-48599536	1
ZNF444	ENSG00000167685	ZNF444 (EZF2, ZSCAN17)	2.3.3.0.24	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr19:56643968-56672262	chr19:56643968-56643968	1
DMRTA1	ENSG00000176399	DMRTA1 (DMRT4)	2.5.1.0.4	2.5	DM-type intertwined zinc finger factors	2.5.1	chr9:22446840-22452472	chr9:22446840-22446840	1
GSC2	ENSG00000063515	GSC-2	3.1.3.9.2	3.1	Homeo domain factors>Paired-related HD factors	3.1.3	chr22:19136089-19137796	chr22:19137796-19137796	-1
HOPX	ENSG00000171476	HOPX-1	3.1.3.11.1	3.1	Homeo domain factors>Paired-related HD factors	3.1.3	chr4:57514155-57548065	chr4:57548065-57548065	-1
ARID3A	ENSG00000116017	ARID3A (Bright, DRIL1, DRIL3, DRX, E2FBP1)	3.7.1.3.1	3.7	ARID domain factors	3.7.1	chr19:925781-975939	chr19:925781-925781	1
EPAS1	ENSG00000116016	EPAS-1	1.2.5.1.7	1.2	Basic helix-loop-helix factors (bHLH)>PAS domain factors	1.2.5	chr2:46520806-46613836	chr2:46520806-46520806	1
YBX3	ENSG00000060138	DbpA	9.1.1.1.1	9.1	Cold-shock domain factors	9.1.1	chr12:10851683-10875911	chr12:10875911-10875911	-1
NPAS1	ENSG00000130751	NPAS-1	1.2.5.1.8	1.2	Basic helix-loop-helix factors (bHLH)>PAS domain factors	1.2.5	chr19:47523077-47549033	chr19:47523077-47523077	1
HBP1	ENSG00000105856	HBP-1 [1]	4.1.1.9.2	4.1	High-mobility group (HMG) domain factors>SOX-related factors	4.1.1	chr7:106809406-106842974	chr7:106809406-106809406	1
MIXL1	ENSG00000185155	MIXL1	3.1.3.14.1	3.1	Homeo domain factors>Paired-related HD factors	3.1.3	chr1:226411319-226414755	chr1:226411319-226411319	1
ZNF879	ENSG00000234284	ZNF879 [13]	2.3.3.0.157	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr5:178450753-178462065	chr5:178450753-178450753	1
NCOR1	ENSG00000141027	NCoR1	3.5.1.2.1	3.5	Tryptophan cluster factors>Myb/SANT domain factors	3.5.1	chr17:15932471-16121499	chr17:16121499-16121499	-1
TBX10	ENSG00000167800	TBX10 (TBX7)	6.5.3.0.2	6.5	T-Box factors	6.5.3	chr11:67398774-67407031	chr11:67407031-67407031	-1
ZNF251	ENSG00000198169	ZNF251 [11+3]	2.3.4.0.52	2.3	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3.4	chr8:145946298-145981802	chr8:145981802-145981802	-1
MIER1	ENSG00000198160	MIER1	3.5.1.3.1	3.5	Tryptophan cluster factors>Myb/SANT domain factors	3.5.1	chr1:67390578-67454302	chr1:67390578-67390578	1
CREB5	ENSG00000146592	CREB-5 (CRE-BPa)	1.1.1.3.3	1.1	Basic leucine zipper factors (bZIP)>Jun-related factors	1.1.1	chr7:28338940-28865511	chr7:28338940-28338940	1
HMGA1	ENSG00000137309	HMGA1 (HMGI(Y))	8.2.1.0.1	8.2	A.T hook factors	8.2.1	chr6:34204650-34214008	chr6:34204650-34204650	1
MEF2D	ENSG00000116604	MEF-2D	5.1.1.1.4	5.1	MADS box factors	5.1.1	chr1:156433519-156470620	chr1:156470620-156470620	-1
ZNF768	ENSG00000169957	ZNF768 [10]	2.3.3.0.95	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr16:30535325-30538142	chr16:30538142-30538142	-1
ZNF792	ENSG00000180884	ZNF792 [1+12]	2.3.4.24.4	2.3	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3.4	chr19:35447258-35454953	chr19:35454953-35454953	-1
THAP9	ENSG00000168152	THAP9	2.9.1.0.9	2.9	C2CH THAP-type zinc finger factors	2.9.1	chr4:83821837-83841122	chr4:83821837-83821837	1
SOHLH1	ENSG00000165643	SOHLH1 (TEB2)	1.2.5.5.1	1.2	Basic helix-loop-helix factors (bHLH)>PAS domain factors	1.2.5	chr9:138585253-138591374	chr9:138591374-138591374	-1
CEBPB	ENSG00000172216	C/EBPbeta (NF-IL6-1)	1.1.8.1.2	1.1	Basic leucine zipper factors (bZIP)>C/EBP-related	1.1.8	chr20:48807376-48809212	chr20:48807376-48807376	1
ZNF177	ENSG00000188629	ZNF177 [7]	2.3.3.40.1	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr19:9435021-9493293	chr19:9435021-9435021	1
ZNF48	ENSG00000180035	ZNF48 (ZNF553) [8+2+2]	2.3.4.0.48	2.3	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3.4	chr16:30389427-30411429	chr16:30389427-30389427	1
HMX3	ENSG00000188620	HMX-3 (NKX5-1, NKX-5.1)	3.1.2.18.3	3.1	Homeo domain factors>NK-related factors	3.1.2	chr10:124895478-124897257	chr10:124895478-124895478	1
MGA	ENSG00000174197	MGA (MAD5)	1.2.6.7.4	1.2	Basic helix-loop-helix factors (bHLH)>bHLH-ZIP factors	1.2.6	chr15:41913422-42062141	chr15:41913422-41913422	1
MGA	ENSG00000174197	Mad5 (MGA)	6.5.5.0.2	6.5	T-Box factors	6.5.5	chr15:41913422-42062141	chr15:41913422-41913422	1
NFATC2	ENSG00000101096	NFATc2 (NFATp, NFAT1)	6.1.3.0.2	6.1	Rel homology region (RHR) factors	6.1.3	chr20:50003494-50179168	chr20:50179168-50179168	-1
ZNF462	ENSG00000148143	ZNF462 [1+2+2+1+3+1+1+3+2+1+4+5+1]	2.3.4.0.75	2.3	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3.4	chr9:109625378-109775915	chr9:109625378-109625378	1
ZSCAN12	ENSG00000158691	ZSCAN12 (ZNF305, ZNF96) [11]	2.3.3.0.120	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr6:28346732-28367511	chr6:28367511-28367511	-1
SOX21	ENSG00000125285	SOX-21	4.1.1.2.5	4.1	High-mobility group (HMG) domain factors>SOX-related factors	4.1.1	chr13:95361886-95364389	chr13:95364389-95364389	-1
ZNF519	ENSG00000175322	ZNF519 [1+9]	2.3.4.0.68	2.3	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3.4	chr18:14057456-14132489	chr18:14132489-14132489	-1
ZNF155	ENSG00000204920	ZNF155 [12]	2.3.3.47.4	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr19:44472014-44502477	chr19:44472014-44472014	1
NFIX	ENSG00000008441	NF-1X	7.1.2.0.4	7.1	SMAD/NF-1 DNA-binding domain factors	7.1.2	chr19:13106422-13209610	chr19:13106422-13106422	1
ZNF780B	ENSG00000128000	ZNF780B (ZNF779) [23]	2.3.3.67.12	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr19:40534167-40562116	chr19:40562116-40562116	-1
IRX3	ENSG00000177508	IRX-3	3.1.4.1.3	3.1	Homeo domain factors>TALE-type homeo domain factors	3.1.4	chr16:54317216-54320675	chr16:54320675-54320675	-1
MXD4	ENSG00000123933	Mad4	1.2.6.7.3	1.2	Basic helix-loop-helix factors (bHLH)>bHLH-ZIP factors	1.2.6	chr4:2249159-2264021	chr4:2264021-2264021	-1
RC3H2	ENSG00000056586	RC3H2 (MNAB, RNF164) [1]	2.8.3.0.1	2.8	C3H zinc finger factors	2.8.3	chr9:125606835-125667620	chr9:125667620-125667620	-1
ZNF217	ENSG00000171940	ZNF217 (ZABC1) [1+3+1+2]	2.3.4.2.4	2.3	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3.4	chr20:52183604-52226446	chr20:52226446-52226446	-1
HSF2	ENSG00000025156	HSF2 (HSTF2)	3.4.1.0.2	3.4	Heat shock factors	3.4.1	chr6:122720691-122754264	chr6:122720691-122720691	1
ZNF627	ENSG00000198551	ZNF627 [11]	2.3.3.33.7	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr19:11670189-11729950	chr19:11670189-11670189	1
ZNF789	ENSG00000198556	ZNF789 [8]	2.3.3.0.61	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr7:99070464-99101273	chr7:99070464-99070464	1
GRHL2	ENSG00000083307	GRH-L2 (CP2-L3)	6.7.1.1.2	6.7	Grainyhead domain factors	6.7.1	chr8:102504660-102681954	chr8:102504660-102504660	1
MYCL	ENSG00000116990	L-Myc-1	1.2.6.5.3	1.2	Basic helix-loop-helix factors (bHLH)>bHLH-ZIP factors	1.2.6	chr1:40361098-40367928	chr1:40367928-40367928	-1
NPAS4	ENSG00000174576	NPAS-4	1.2.5.4.1	1.2	Basic helix-loop-helix factors (bHLH)>PAS domain factors	1.2.5	chr11:66188475-66194178	chr11:66188475-66188475	1
HOXC5	ENSG00000172789	Hox-C5 (HOX3D)	3.1.1.5.3	3.1	Homeo domain factors>HOX-related factors	3.1.1	chr12:54379629-54429145	chr12:54379629-54379629	1
ZNF252P	ENSG00000196922	ZNF700 [18]	2.3.3.0.212	2.3	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3.3	chr8:146198975-146228281	chr8:146228281-146228281	-1
GATA2	ENSG00000179348	GATA-2	2.2.1.1.2	2.2	Other C4 zinc finger-type factors	2.2.1	chr3:128198270-128212028	chr3:128212028-128212028	-1
PPARA	ENSG00000186951	PPARalpha (NR1C1)	2.1.2.5.1	2.1	Nuclear receptors with C4 zinc fingers>Thyroid hormone receptor-related factors (NR1)	2.1.2	chr22:46546424-46639653	chr22:46546424-46546424	1
