ensg	name	enst	loc	tss_loc	strand	type	gc
ENSG00000130283	GDF1	ENST00000247005	chr19:18868545-18896096	chr19:18896096-18896096	-1	protein_coding	71.0766785856178
ENSG00000130513	GDF15	ENST00000252809	chr19:18386158-18389176	chr19:18386158-18386158	1	protein_coding	62.916666666666664
ENSG00000138379	MSTN	ENST00000260950	chr2:190055697-190062729	chr2:190062729-190062729	-1	protein_coding	33.805811481218996
ENSG00000135414	GDF11	ENST00000257868	chr12:55743280-55757278	chr12:55743280-55743280	1	protein_coding	47.71860921797389
ENSG00000164404	GDF9	ENST00000296875	chr5:132861184-132866330	chr5:132866330-132866330	-1	protein_coding	45.48997772828508
ENSG00000156466	GDF6	ENST00000287020	chr8:96142330-96160792	chr8:96160792-96160792	-1	protein_coding	53.417995136449605
ENSG00000143869	GDF7	ENST00000272224	chr2:20666664-20679245	chr2:20666664-20666664	1	protein_coding	54.436352446404754
ENSG00000184344	GDF3	ENST00000329913	chr12:7689782-7695776	chr12:7695776-7695776	-1	protein_coding	49.717514124293785
ENSG00000125965	GDF5	ENST00000374369	chr20:35433347-35438243	chr20:35438243-35438243	-1	protein_coding	59.00125891733109
ENSG00000266524	GDF10	ENST00000580279	chr10:47300386-47313547	chr10:47300386-47300386	1	protein_coding	59.92676973148902
ENSG00000263761	GDF2	ENST00000581492	chr10:47322490-47326270	chr10:47322490-47322490	1	protein_coding	58.107416879795394
