ensg	name	enst	loc	tss_loc	strand	type	gc
ENSG00000108379	WNT3	ENST00000225512	chr17:46762506-46818760	chr17:46818760-46818760	-1	protein_coding	51.1177347242921
ENSG00000002745	WNT16	ENST00000222462	chr7:121329003-121341104	chr7:121329003-121329003	1	protein_coding	41.43628852875755
ENSG00000115596	WNT6	ENST00000233948	chr2:218859821-218874233	chr2:218859821-218859821	1	protein_coding	70.46388725778039
ENSG00000135925	WNT10A	ENST00000258411	chr2:218880363-218893931	chr2:218880363-218880363	1	protein_coding	65.44954848841775
ENSG00000134245	WNT2B	ENST00000256640	chr1:112466541-112521283	chr1:112466541-112466541	1	protein_coding	48.38595246541327
ENSG00000105989	WNT2	ENST00000265441	chr7:117276631-117323289	chr7:117323289-117323289	-1	protein_coding	49.742002063983485
ENSG00000114251	WNT5A	ENST00000264634	chr3:55465716-55487642	chr3:55487642-55487642	-1	protein_coding	42.34132124352332
ENSG00000154764	WNT7A	ENST00000285018	chr3:13816258-13880121	chr3:13880121-13880121	-1	protein_coding	55.25859935659491
ENSG00000169884	WNT10B	ENST00000301061	chr12:48965340-48971763	chr12:48971763-48971763	-1	protein_coding	59.410729991204924
ENSG00000125084	WNT1	ENST00000293549	chr12:48978615-48981676	chr12:48978615-48978615	1	protein_coding	66.83544303797468
ENSG00000143816	WNT9A	ENST00000272164	chr1:227918656-227947898	chr1:227947898-227947898	-1	protein_coding	59.53160412994208
ENSG00000162552	WNT4	ENST00000290167	chr1:22117305-22142966	chr1:22142966-22142966	-1	protein_coding	57.21716514954487
ENSG00000154342	WNT3A	ENST00000284523	chr1:228007051-228061260	chr1:228007051-228007051	1	protein_coding	66.57571623465212
ENSG00000158955	WNT9B	ENST00000290015	chr17:46851586-46876967	chr17:46851586-46851586	1	protein_coding	64.82558139534885
ENSG00000111186	WNT5B	ENST00000310594	chr12:1617056-1647211	chr12:1617056-1617056	1	protein_coding	58.01282051282052
ENSG00000085741	WNT11	ENST00000322563	chr11:76186325-76206532	chr11:76206532-76206532	-1	protein_coding	59.53367875647668
ENSG00000188064	WNT7B	ENST00000339464	chr22:45920362-45977129	chr22:45977129-45977129	-1	protein_coding	62.975248787956104
ENSG00000075290	WNT8B	ENST00000343737	chr10:100463041-100483744	chr10:100463041-100463041	1	protein_coding	55.871212121212125
ENSG00000061492	WNT8A	ENST00000361560	chr5:138083990-138092365	chr5:138083990-138083990	1	protein_coding	49.78083907326237
