ensg	name	enst	loc	tss_loc	strand	type	gc
ENSG00000008517	IL32	ENST00000008180	chr16:3065631-3069819	chr16:3065631-3065631	1	protein_coding	56.15530303030303
ENSG00000099985	OSM	ENST00000215781	chr22:30262829-30266840	chr22:30266840-30266840	-1	protein_coding	59.49298813376483
ENSG00000111536	IL26	ENST00000229134	chr12:68201351-68225821	chr12:68225821-68225821	-1	protein_coding	35.72093023255814
ENSG00000110944	IL23A	ENST00000228534	chr12:56338875-56340410	chr12:56338875-56338875	1	protein_coding	50.860420650095605
ENSG00000109471	IL2	ENST00000226730	chr4:122451470-122456725	chr4:122456725-122456725	-1	protein_coding	33.33333333333333
ENSG00000105246	EBI3	ENST00000221847	chr19:4229498-4237531	chr19:4229498-4229498	1	protein_coding	59.527824620573355
ENSG00000113520	IL4	ENST00000231449	chr5:132673986-132682676	chr5:132673986-132673986	1	protein_coding	45.45454545454545
ENSG00000113525	IL5	ENST00000231454	chr5:132541444-132543522	chr5:132543522-132543522	-1	protein_coding	37.00980392156863
ENSG00000128342	LIF	ENST00000249075	chr22:30240447-30246851	chr22:30246851-30246851	-1	protein_coding	56.86570924666162
ENSG00000113302	IL12B	ENST00000231228	chr5:159314783-159330887	chr5:159330887-159330887	-1	protein_coding	43.96957624049257
ENSG00000124391	IL17C	ENST00000244241	chr16:88638593-88640473	chr16:88638593-88638593	1	protein_coding	63.40996168582376
ENSG00000095752	IL11	ENST00000264563	chr19:55364389-55370373	chr19:55370373-55370373	-1	protein_coding	55.58965366067514
ENSG00000136694	IL36A	ENST00000259211	chr2:113005461-113008044	chr2:113005461-113005461	1	protein_coding	50.22522522522522
ENSG00000138684	IL21	ENST00000264497	chr4:122610108-122621069	chr4:122621069-122621069	-1	protein_coding	33.34391870435059
ENSG00000136696	IL36B	ENST00000259213	chr2:113022091-113052867	chr2:113052867-113052867	-1	protein_coding	40.05059021922428
ENSG00000136244	IL6	ENST00000258743	chr7:22727147-22732000	chr7:22727147-22727147	1	protein_coding	42.554991539763115
ENSG00000137496	IL18BP	ENST00000260049	chr11:71999617-72002526	chr11:71999617-71999617	1	protein_coding	56.646971935007386
ENSG00000125538	IL1B	ENST00000263341	chr2:112829751-112836903	chr2:112836903-112836903	-1	protein_coding	45.677498467198035
ENSG00000104432	IL7	ENST00000263851	chr8:78732772-78805523	chr8:78805523-78805523	-1	protein_coding	38.4393063583815
ENSG00000125571	IL37	ENST00000263326	chr2:112912971-112918882	chr2:112912971-112912971	1	protein_coding	47.40932642487047
ENSG00000115008	IL1A	ENST00000263339	chr2:112773915-112784590	chr2:112784590-112784590	-1	protein_coding	39.07721280602637
ENSG00000127743	IL17B	ENST00000261796	chr5:149374267-149379276	chr5:149379276-149379276	-1	protein_coding	61.92528735632183
ENSG00000164399	IL3	ENST00000296870	chr5:132060529-132063204	chr5:132060529-132060529	1	protein_coding	49.238095238095234
ENSG00000172458	IL17D	ENST00000304920	chr13:20703343-20723098	chr13:20703343-20703343	1	protein_coding	57.65717356260075
ENSG00000168811	IL12A	ENST00000305579	chr3:159988750-159996012	chr3:159988750-159988750	1	protein_coding	46.517739816031536
