ensg	name	enst	loc	tss_loc	strand	type	gc
ENSG00000113070	HBEGF	ENST00000230990	chr5:140332843-140346631	chr5:140346631-140346631	-1	protein_coding	50.88013411567477
ENSG00000124882	EREG	ENST00000244869	chr4:74365143-74388751	chr4:74365143-74365143	1	protein_coding	36.111712491881356
ENSG00000138798	EGF	ENST00000265171	chr4:109912891-110012266	chr4:109912891-109912891	1	protein_coding	44.303278688524586
ENSG00000158458	NRG2	ENST00000289409	chr5:139847917-140043069	chr5:140043069-140043069	-1	protein_coding	66.78500986193295
ENSG00000241186	TDGF1	ENST00000296145	chr3:46577237-46582463	chr3:46577237-46577237	1	protein_coding	43.971348985276556
ENSG00000157168	NRG1	ENST00000287842	chr8:32548635-32764407	chr8:32548635-32548635	1	protein_coding	51.35135135135135
ENSG00000182585	EPGN	ENST00000332112	chr4:74308487-74313590	chr4:74308487-74308487	1	protein_coding	37.78040141676505
ENSG00000185737	NRG3	ENST00000372142	chr10:81877687-82986967	chr10:81877687-81877687	1	protein_coding	42.69770408163265
ENSG00000169752	NRG4	ENST00000394907	chr15:75943009-76012444	chr15:76012444-76012444	-1	protein_coding	39.86194995685936
ENSG00000109321	AREG	ENST00000395748	chr4:74445134-74455009	chr4:74445134-74445134	1	protein_coding	45.322580645161295
ENSG00000174808	BTC	ENST00000395743	chr4:74744759-74794686	chr4:74794686-74794686	-1	protein_coding	40.19886363636363
