name	ensg	label	id	combined_family	class_id	family_id
ZFY	ENSMUSG00000053211	ZFY [13]	2.3.3.65.2	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
ZNF670	ENSMUSG00000095432	ZNF670 [9]	2.3.3.33.5	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
TSHZ2	ENSMUSG00000047907	TSHZ-2	3.1.8.2.2	Homeo domain factors>HD-ZF factors	3.1	3.1.8
EMX1	ENSMUSG00000033726	EMX-1	3.1.2.6.1	Homeo domain factors>NK-related factors	3.1	3.1.2
HOXB8	ENSMUSG00000056648	Hox-B8 (HOX2D)	3.1.1.7.1	Homeo domain factors>HOX-related factors	3.1	3.1.1
TONSL	ENSMUSG00000059323	IkappaBR	6.1.2.1.6	Rel homology region (RHR) factors	6.1	6.1.2
NR2F6	ENSMUSG00000002393	EAR2  (NR2F6)	2.1.3.5.3	Nuclear receptors with C4 zinc fingers>RXR-related receptors (NR2)	2.1	2.1.3
HOPX	ENSMUSG00000059325	HOPX-1	3.1.3.11.1	Homeo domain factors>Paired-related HD factors	3.1	3.1.3
PITX2	ENSMUSG00000028023	PITX-2 (ARP, RGS, RIEG1)	3.1.3.19.2	Homeo domain factors>Paired-related HD factors	3.1	3.1.3
UTF1	ENSMUSG00000047751	UTF1	1.1.0.2.1	Basic leucine zipper factors (bZIP)>ZIP only	1.1	1.1.0
ID1	ENSMUSG00000042745	Id1	1.2.8.0.1	Basic helix-loop-helix factors (bHLH)>HLH domain only	1.2	1.2.8
FOXB1	ENSMUSG00000059246	FOXB1 (Fkh-5)	3.3.1.2.1	Fork head / winged helix factors>Forkhead box (FOX) factors	3.3	3.3.1
ZNF583	ENSMUSG00000030443	ZNF583 [12]	2.3.3.31.4	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
THAP3	ENSMUSG00000039759	THAP3	2.9.1.0.3	C2CH THAP-type zinc finger factors	2.9	2.9.1
ZC3H8	ENSMUSG00000027387	ZC3H8 (ZC3HDC8, FLIZ1) [3]	2.8.1.0.1	C3H zinc finger factors	2.8	2.8.1
NR4A3	ENSMUSG00000028341	NOR1  (NR4A3)	2.1.4.0.3	Nuclear receptors with C4 zinc fingers>NGFI-B-related receptors (NR4)	2.1	2.1.4
ZNF653	ENSMUSG00000038895	ZNF653 (ZIP67) [5]	2.3.3.3.4	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
KDM5D	ENSMUSG00000056673	JARID1D (KDM5D, HY, HYA, SMCY)	3.7.1.6.4	ARID domain factors	3.7	3.7.1
ZKSCAN5	ENSMUSG00000055991	ZKSCAN5 (ZFP95) [4+9]	2.3.4.0.42	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
ZNF692	ENSMUSG00000037243	ZNF692 [5]	2.3.3.3.2	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
VEZF1	ENSMUSG00000018377	VEZF1 (DB1, ZNF161) [1+5]	2.3.4.8.2	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
MYOG	ENSMUSG00000026459	Myogenin (Myf-4)	1.2.2.1.2	Basic helix-loop-helix factors (bHLH)>MyoD / ASC-related factors	1.2	1.2.2
CEBPA	ENSMUSG00000034957	C/EBPalpha	1.1.8.1.1	Basic leucine zipper factors (bZIP)>C/EBP-related	1.1	1.1.8
YBX3	ENSMUSG00000030189	DbpA	9.1.1.1.1	Cold-shock domain factors	9.1	9.1.1
ZNF605	ENSMUSG00000023284	ZNF605 [17]	2.3.3.71.2	C2H2 zinc finger factors>More than 3 adjacent zinc finger factors	2.3	2.3.3
SP2	ENSMUSG00000018678	Sp2	2.3.1.1.2	C2H2 zinc finger factors>Three-zinc finger Krüppel-related factors	2.3	2.3.1
ZNF639	ENSMUSG00000027667	ZNF639 (ZASC1) [4+4]	2.3.4.13.1	C2H2 zinc finger factors>Factors with multiple dispersed zinc fingers	2.3	2.3.4
LMX1B	ENSMUSG00000038765	Lmx-1beta (LMX-1.2, LMX1B)	3.1.5.6.2	Homeo domain factors>HD-LIM factors	3.1	3.1.5
KDM5A	ENSMUSG00000030180	JARID1A (KDM5A, RBBP2, RBP2)	3.7.1.6.1	ARID domain factors	3.7	3.7.1
HOXC5	ENSMUSG00000022485	Hox-C5 (HOX3D)	3.1.1.5.3	Homeo domain factors>HOX-related factors	3.1	3.1.1
SSRP1	ENSMUSG00000027067	SSRP1 [1]	4.1.5.0.2	High-mobility group (HMG) domain factors>WHSC1-related factors	4.1	4.1.5
NFATC3	ENSMUSG00000031902	NFATc3 (NFATx)	6.1.3.0.3	Rel homology region (RHR) factors	6.1	6.1.3
