loc	ensg	name	tss_loc	strand
chr7:27185015-27192217	ENSG00000106006	HOXA6	chr7:27192217-27192217	-1
chr7:27180671-27183287	ENSG00000106004	HOXA5	chr7:27183287-27183287	-1
chr20:57766075-57834168	ENSG00000124203	ZNF831	chr20:57766075-57766075	1
chr6:28317691-28336947	ENSG00000189298	ZKSCAN3	chr6:28317691-28317691	1
chr19:52392477-52408293	ENSG00000198093	ZNF649	chr19:52408293-52408293	-1
chr2:231067826-231223762	ENSG00000079263	SP140	chr2:231067826-231067826	1
chr3:126061478-126076285	ENSG00000163884	KLF15	chr3:126076285-126076285	-1
chr16:69598997-69738569	ENSG00000102908	NFAT5	chr16:69598997-69598997	1
chr8:145515280-145538385	ENSG00000185122	HSF1	chr8:145515280-145515280	1
chr19:44711700-44741421	ENSG00000131115	ZNF227	chr19:44711700-44711700	1
chr9:39443804-39464526	ENSG00000198416	CTD-2173L22.4	chr9:39464526-39464526	-1
chrX:55649833-55652621	ENSG00000189299	FOXR2	chrX:55649833-55649833	1
chr17:37759789-37766030	ENSG00000171532	NEUROD2	chr17:37766030-37766030	-1
chr1:110602616-110613322	ENSG00000156150	ALX3	chr1:110613322-110613322	-1
chr10:44139307-44144304	ENSG00000169740	ZNF32	chr10:44144304-44144304	-1
chr3:113367232-113415493	ENSG00000176542	KIAA2018	chr3:113415493-113415493	-1
chr16:79619740-79634611	ENSG00000178573	MAF	chr16:79634611-79634611	-1
chrGL000223.1:149787-180454	ENSG00000229631	AL603926.1	chrGL000223.1:149787-149787	1
chr19:44100544-44105309	ENSG00000124444	ZNF576	chr19:44100544-44100544	1
chr8:70963886-70983928	ENSG00000147596	PRDM14	chr8:70983928-70983928	-1
chr19:58046625-58071231	ENSG00000251369	ZNF550	chr19:58071231-58071231	-1
chr19:58281023-58331307	ENSG00000083828	ZNF586	chr19:58281023-58281023	1
chr16:30789778-30798523	ENSG00000102870	ZNF629	chr16:30798523-30798523	-1
chr17:38465444-38513094	ENSG00000131759	RARA	chr17:38465444-38465444	1
chr16:67197288-67203848	ENSG00000102878	HSF4	chr16:67197288-67197288	1
chr19:40534167-40562116	ENSG00000128000	ZNF780B	chr19:40562116-40562116	-1
chr19:12995237-12997995	ENSG00000105610	KLF1	chr19:12997995-12997995	-1
chr16:31885079-31928668	ENSG00000185947	ZNF267	chr16:31885079-31885079	1
chr13:100634026-100639018	ENSG00000043355	ZIC2	chr13:100634026-100634026	1
chr19:40267235-40276775	ENSG00000213921	LEUTX	chr19:40267235-40267235	1
chr19:23487793-23578362	ENSG00000167232	ZNF91	chr19:23578362-23578362	-1
chr8:42691817-42698468	ENSG00000131931	THAP1	chr8:42698468-42698468	-1
chr19:22934985-22937677	ENSG00000180081	CTC-451A6.4	chr19:22937677-22937677	-1
chr19:38104650-38183238	ENSG00000120784	ZFP30	chr19:38183238-38183238	-1
chr3:111311747-111314290	ENSG00000177494	ZBED2	chr3:111314290-111314290	-1
chr2:208394461-208468155	ENSG00000118260	CREB1	chr2:208394461-208394461	1
chr2:207938861-208031991	ENSG00000118263	KLF7	chr2:208031991-208031991	-1
chr14:36003248-36006260	ENSG00000168348	INSM2	chr14:36003248-36003248	1
chr12:48733791-48745197	ENSG00000167528	ZNF641	chr12:48745197-48745197	-1
chr14:64970430-65000408	ENSG00000126804	ZBTB1	chr14:64970430-64970430	1
chr17:35294084-35301917	ENSG00000132130	LHX1	chr17:35294084-35294084	1
chr6:106534195-106557814	ENSG00000057657	PRDM1	chr6:106534195-106534195	1
chr17:40465342-40540586	ENSG00000168610	STAT3	chr17:40540586-40540586	-1
chr17:45922279-45933240	ENSG00000189120	SP6	chr17:45933240-45933240	-1
chr19:42751724-42759309	ENSG00000105722	ERF	chr19:42759309-42759309	-1
chr1:61330931-61928465	ENSG00000162599	NFIA	chr1:61330931-61330931	1
chr7:64438360-64467062	ENSG00000152926	ZNF117	chr7:64467062-64467062	-1
chr19:57874845-57890933	ENSG00000152433	ZNF547	chr19:57874845-57874845	1
chr14:75894419-75940814	ENSG00000140044	JDP2	chr14:75894419-75894419	1
chr17:7565097-7590856	ENSG00000141510	TP53	chr17:7590856-7590856	-1
chr19:58011283-58029772	ENSG00000152439	ZNF773	chr19:58011283-58011283	1
chr12:53574484-53584596	ENSG00000139651	ZNF740	chr12:53574484-53574484	1
chr1:59120411-59165764	ENSG00000162601	MYSM1	chr1:59165764-59165764	-1
chr12:121416346-121440315	ENSG00000135100	HNF1A	chr12:121416346-121416346	1
chrY:2803112-2850547	ENSG00000067646	ZFY	chrY:2803112-2803112	1
chr18:32946661-32957301	ENSG00000186496	ZNF396	chr18:32957301-32957301	-1
chr1:63788730-63790797	ENSG00000187140	FOXD3	chr1:63788730-63788730	1
chr12:45408455-45444882	ENSG00000185610	DBX2	chr12:45444882-45444882	-1
chr5:43065278-43192123	ENSG00000172262	ZNF131	chr5:43065278-43065278	1
chr15:31619058-31727868	ENSG00000169926	KLF13	chr15:31619058-31619058	1
chr3:42695176-42709072	ENSG00000114853	ZBTB47	chr3:42695176-42695176	1
chr17:45810610-45823485	ENSG00000073861	TBX21	chr17:45810610-45810610	1
chr18:32831032-32870196	ENSG00000186814	ZSCAN30	chr18:32870196-32870196	-1
chr7:150065278-150071133	ENSG00000214022	REPIN1	chr7:150065278-150065278	1
chr14:38059189-38069245	ENSG00000129514	FOXA1	chr14:38069245-38069245	-1
chr18:32820994-32847097	ENSG00000186812	ZNF397	chr18:32820994-32820994	1
chr12:133694740-133707059	ENSG00000214029	ZNF891	chr12:133707059-133707059	-1
chr2:71004442-71017775	ENSG00000183733	FIGLA	chr2:71017775-71017775	-1
chr1:47901689-47906363	ENSG00000186564	FOXD2	chr1:47901689-47901689	1
chr9:72999503-73029540	ENSG00000119138	KLF9	chr9:73029540-73029540	-1
chr4:121606074-121844025	ENSG00000138738	PRDM5	chr4:121844025-121844025	-1
chr17:15932471-16121499	ENSG00000141027	NCOR1	chr17:16121499-16121499	-1
chr1:23685941-23695935	ENSG00000125945	ZNF436	chr1:23695935-23695935	-1
chr17:35766965-35839835	ENSG00000108264	TADA2A	chr17:35766965-35766965	1
chr1:28995244-29045865	ENSG00000162419	GMEB1	chr1:28995244-28995244	1
chr3:101367733-101396339	ENSG00000066422	ZBTB11	chr3:101396339-101396339	-1
chr1:16268364-16302627	ENSG00000116809	ZBTB17	chr1:16302627-16302627	-1
chr19:35248979-35264134	ENSG00000153896	ZNF599	chr19:35264134-35264134	-1
chr10:60144782-60158981	ENSG00000108064	TFAM	chr10:60144782-60144782	1
chr2:239146908-239149303	ENSG00000144485	HES6	chr2:239149303-239149303	-1
chr19:58038693-58068910	ENSG00000121406	ZNF549	chr19:58038693-58038693	1
chrY:20708557-20750849	ENSG00000172468	HSFY1	chrY:20708557-20708557	1
chr10:3818188-3827473	ENSG00000067082	KLF6	chr10:3827473-3827473	-1
chr18:32912176-32925446	ENSG00000172466	ZNF24	chr18:32925446-32925446	-1
chr2:239756673-239795893	ENSG00000233608	TWIST2	chr2:239756673-239756673	1
chr19:33864236-33873591	ENSG00000153879	CEBPG	chr19:33864236-33864236	1
chr7:20823906-20826505	ENSG00000164651	SP8	chr7:20826505-20826505	-1
chr2:97202480-97218375	ENSG00000196843	ARID5A	chr2:97202480-97202480	1
chr10:101292690-101296278	ENSG00000119919	NKX2-3	chr10:101292690-101292690	1
chr11:85370752-85393951	ENSG00000137504	CREBZF	chr11:85393951-85393951	-1
chr12:26272959-26278060	ENSG00000123095	BHLHE41	chr12:26278060-26278060	-1
chr22:50247490-50282090	ENSG00000100426	ZBED4	chr22:50247490-50247490	1
chr6:27861203-27861669	ENSG00000196331	HIST1H2BO	chr6:27861203-27861203	1
