ensg	name	enst	loc	tss_loc	strand	type	gc
ENSG00000075388	FGF4	ENST00000168712	chr11:69771016-69775403	chr11:69775403-69775403	-1	protein_coding	50.850603154964425
ENSG00000078579	FGF20	ENST00000180166	chr8:16992169-17002181	chr8:17002181-17002181	-1	protein_coding	42.71327014218009
ENSG00000070388	FGF22	ENST00000215530	chr19:639895-644371	chr19:639895-639895	1	protein_coding	69.79405034324942
ENSG00000111241	FGF6	ENST00000228837	chr12:4434143-4445614	chr12:4445614-4445614	-1	protein_coding	56.258411843876175
ENSG00000105550	FGF21	ENST00000222157	chr19:48756087-48758333	chr19:48756087-48756087	1	protein_coding	58.118701007838744
ENSG00000118972	FGF23	ENST00000237837	chr12:4368227-4379728	chr12:4379728-4379728	-1	protein_coding	46.752816434724984
ENSG00000070193	FGF10	ENST00000264664	chr5:44303544-44388797	chr5:44388797-44388797	-1	protein_coding	39.53488372093023
ENSG00000138685	FGF2	ENST00000264498	chr4:122826708-122898236	chr4:122826708-122826708	1	protein_coding	37.4760147601476
ENSG00000161958	FGF11	ENST00000293829	chr17:7439027-7444937	chr17:7439027-7439027	1	protein_coding	54.94613124387855
ENSG00000156427	FGF18	ENST00000274625	chr5:171419656-171457623	chr5:171419656-171419656	1	protein_coding	58.86203423967774
ENSG00000140285	FGF7	ENST00000267843	chr15:49423096-49488775	chr15:49423096-49423096	1	protein_coding	33.27236144137552
ENSG00000162344	FGF19	ENST00000294312	chr11:69698232-69704642	chr11:69704642-69704642	-1	protein_coding	58.60237024928484
ENSG00000129682	FGF13	ENST00000305414	chrX:138631574-138739353	chrX:138739353-138739353	-1	protein_coding	38.98916967509025
ENSG00000138675	FGF5	ENST00000312465	chr4:80266599-80290194	chr4:80266599-80266599	1	protein_coding	36.59714599341383
ENSG00000113578	FGF1	ENST00000337706	chr5:142594752-142686385	chr5:142686385-142686385	-1	protein_coding	53.16541865214431
ENSG00000107831	FGF8	ENST00000344255	chr10:101770324-101775900	chr10:101775900-101775900	-1	protein_coding	65.06364922206507
ENSG00000186895	FGF3	ENST00000334134	chr11:69809969-69819024	chr11:69819024-69819024	-1	protein_coding	66.43417611159546
ENSG00000158815	FGF17	ENST00000359441	chr8:22042426-22048809	chr8:22042426-22042426	1	protein_coding	63.06884480746792
ENSG00000102678	FGF9	ENST00000382353	chr13:21671383-21704498	chr13:21671383-21671383	1	protein_coding	38.60189573459716
ENSG00000102466	FGF14	ENST00000376143	chr13:101722831-101916645	chr13:101916645-101916645	-1	protein_coding	50.134408602150536
ENSG00000114279	FGF12	ENST00000418610	chr3:192170564-192727525	chr3:192727525-192727525	-1	protein_coding	49.004594180704444
ENSG00000196468	FGF16	ENST00000439435	chrX:77447405-77457278	chrX:77447405-77447405	1	protein_coding	51.090909090909086
